Tool,feature,shift_z,operation,n,abs_shift_z
M,210X162,1.6310371839936095,210,128,1.6310371839936095
M,210X166,1.6306364797251964,210,128,1.6306364797251964
M,210X156,1.6269842348537913,210,128,1.6269842348537913
M,210X118,1.6206671091674119,210,128,1.6206671091674119
M,210X81,1.6149661502384072,210,128,1.6149661502384072
M,210X83,1.6140339556863577,210,128,1.6140339556863577
M,210X143,1.6086600420585373,210,128,1.6086600420585373
M,210X144,1.6037226536149578,210,128,1.6037226536149578
M,210X3,-1.583176098349298,210,128,1.583176098349298
M,210X153,1.5605624491958536,210,128,1.5605624491958536
J,210X174,-1.5376067220884457,210,142,1.5376067220884457
M,210X151,1.5046501062253603,210,128,1.5046501062253603
J,210X144,-1.5046488816563852,210,142,1.5046488816563852
M,210X11,-1.5040961616171922,210,128,1.5040961616171922
J,210X158,-1.5011316186634998,210,142,1.5011316186634998
J,210X83,-1.495687237292621,210,142,1.495687237292621
M,210X149,1.494530816408729,210,128,1.494530816408729
J,210X161,-1.493545640772268,210,142,1.493545640772268
J,210X179,-1.493422359061873,210,142,1.493422359061873
M,210X157,1.4898034261525637,210,128,1.4898034261525637
L,210X194,1.4869387614813543,210,178,1.4869387614813543
J,210X176,-1.485185938110874,210,142,1.485185938110874
M,210X163,1.48426129313755,210,128,1.48426129313755
M,210X135,1.4839495945258219,210,128,1.4839495945258219
M,210X121,1.483902465897756,210,128,1.483902465897756
M,210X169,1.4837760771052604,210,128,1.4837760771052604
M,210X167,1.4829087405820311,210,128,1.4829087405820311
M,210X119,1.480924334047026,210,128,1.480924334047026
J,210X143,-1.4796519190114121,210,142,1.4796519190114121
J,210X134,-1.478492035381891,210,142,1.478492035381891
J,210X81,-1.478472684317742,210,142,1.478472684317742
J,210X120,-1.4784467513589268,210,142,1.4784467513589268
J,210X168,-1.4783620982977626,210,142,1.4783620982977626
M,210X145,1.4776376768718318,210,128,1.4776376768718318
J,210X166,-1.4741443175138853,210,142,1.4741443175138853
M,210X82,1.4724029289121643,210,128,1.4724029289121643
M,210X84,1.4721651781052105,210,128,1.4721651781052105
J,210X132,-1.468503681172532,210,142,1.468503681172532
M,210X133,1.4669865078650068,210,128,1.4669865078650068
J,210X118,-1.4657294046759606,210,142,1.4657294046759606
J,210X162,-1.4652187482062076,210,142,1.4652187482062076
J,210X156,-1.4616019763445047,210,142,1.4616019763445047
J,210X74,1.442239517489975,210,142,1.442239517489975
J,210X150,-1.441225182029831,210,142,1.441225182029831
J,210X148,-1.4300626239230962,210,142,1.4300626239230962
J,210X191,1.4200279454272007,210,142,1.4200279454272007
J,210X164,-1.411895214869383,210,142,1.411895214869383
J,210X154,-1.406517375905466,210,142,1.406517375905466
L,210X229,1.4060454962102673,210,178,1.4060454962102673
O,210X99,1.3829545017739682,210,86,1.3829545017739682
L,210X195,1.377384360401689,210,178,1.377384360401689
J,210X186,-1.373969740552477,210,142,1.373969740552477
O,210X97,1.3710208067742125,210,86,1.3710208067742125
O,ERROR:#N/A_4,1.3647899801009138,UNKNOWN,86,1.3647899801009138
J,210X76,1.3638017748220768,210,142,1.3638017748220768
O,210X8,1.3520355967228703,210,86,1.3520355967228703
L,210X192,1.338898968168138,210,178,1.338898968168138
J,210X11,1.335137203884067,210,142,1.335137203884067
O,210X217,1.329642289643643,210,86,1.329642289643643
O,210X98,1.3288435729170938,210,86,1.3288435729170938
J,210X190,-1.3204500688986904,210,142,1.3204500688986904
L,210X9,1.3100658213748315,210,178,1.3100658213748315
J,210X3,1.301079743206245,210,142,1.301079743206245
J,210X34,1.2881802107934828,210,142,1.2881802107934828
J,210X32,1.2805752296863198,210,142,1.2805752296863198
N,210X7,1.2701112176612195,210,266,1.2701112176612195
M,210X152,-1.2694669428168257,210,128,1.2694669428168257
O,210X2,1.2404223666497272,210,86,1.2404223666497272
M,210X2,-1.2318143917696833,210,128,1.2318143917696833
J,210X28,-1.1853557948425024,210,142,1.1853557948425024
M,210X52,-1.1765567385908209,210,128,1.1765567385908209
J,210X142,-1.1707266565180663,210,142,1.1707266565180663
O,210X89,1.1677813998751259,210,86,1.1677813998751259
J,210X178,-1.1646600979499062,210,142,1.1646600979499062
J,210X160,-1.1644958979555633,210,142,1.1644958979555633
L,210X89,1.1556820766229088,210,178,1.1556820766229088
O,210X153,-1.1488143414366974,210,86,1.1488143414366974
L,210X158,1.1473697673497172,210,178,1.1473697673497172
O,210X13,1.142261879072174,210,86,1.142261879072174
M,210X16,-1.1402250839368502,210,128,1.1402250839368502
L,210X176,1.1359029722938168,210,178,1.1359029722938168
O,210X15,1.129008078519672,210,86,1.129008078519672
M,210X210,-1.1286055478734744,210,128,1.1286055478734744
M,210X34,-1.1239778723860883,210,128,1.1239778723860883
L,210X188,1.1156384555721517,210,178,1.1156384555721517
O,210X139,1.1142469602179699,210,86,1.1142469602179699
M,210X32,-1.1134521157328388,210,128,1.1134521157328388
N,210X206,1.1102675072082644,210,266,1.1102675072082644
O,210X66,1.102140881436285,210,86,1.102140881436285
L,210X43,1.098596393562546,210,178,1.098596393562546
M,210X6,-1.0985063781842979,210,128,1.0985063781842979
L,210X207,-1.0980883813200941,210,178,1.0980883813200941
L,210X41,1.097304461517892,210,178,1.097304461517892
N,210X207,1.097286201737517,210,266,1.097286201737517
O,210X192,-1.0904166847122794,210,86,1.0904166847122794
J,210X9,-1.0852461385917196,210,142,1.0852461385917196
N,210X8,-1.078042136060611,210,266,1.078042136060611
L,210X54,1.0701782686299948,210,178,1.0701782686299948
L,210X117,1.0696752622291024,210,178,1.0696752622291024
L,210X123,1.0696407238217256,210,178,1.0696407238217256
L,210X56,1.0695657228794133,210,178,1.0695657228794133
J,210X16,1.0645111707725334,210,142,1.0645111707725334
M,210X35,-1.029329075357662,210,128,1.029329075357662
N,210X43,-1.0241826610202014,210,266,1.0241826610202014
N,210X41,-1.0236637909713358,210,266,1.0236637909713358
L,210X91,1.0143158300333428,210,178,1.0143158300333428
N,210X42,-1.010692615630541,210,266,1.010692615630541
N,210X190,1.0063304754285438,210,266,1.0063304754285438
M,210X33,-1.0019380821490602,210,128,1.0019380821490602
L,210X175,0.9935018142666334,210,178,0.9935018142666334
O,210X175,0.9929169468167984,210,86,0.9929169468167984
M,210X65,0.991707467035477,210,128,0.991707467035477
N,210X40,-0.9900239493294843,210,266,0.9900239493294843
N,210X56,-0.9843572674245621,210,266,0.9843572674245621
N,210X123,-0.9843259573803226,210,266,0.9843259573803226
N,210X54,-0.9836932774605244,210,266,0.9836932774605244
N,210X117,-0.9832421833579412,210,266,0.9832421833579412
L,210X7,-0.9813876927603161,210,178,0.9813876927603161
O,210X83,0.9789357546420026,210,86,0.9789357546420026
J,210X65,0.9769446889689695,210,142,0.9769446889689695
N,210X53,-0.9705032084984027,210,266,0.9705032084984027
N,210X55,-0.9703163030116563,210,266,0.9703163030116563
N,210X122,-0.9702454281652169,210,266,0.9702454281652169
N,210X116,-0.9700696731028186,210,266,0.9700696731028186
N,210X161,0.9611679826130743,210,266,0.9611679826130743
L,210X206,-0.9600325200414782,210,178,0.9600325200414782
N,210X179,0.9597428300678703,210,266,0.9597428300678703
O,210X81,0.9533785516509232,210,86,0.9533785516509232
M,210X192,-0.9520389328452387,210,128,0.9520389328452387
O,210X144,0.9443268423207201,210,86,0.9443268423207201
L,210X116,0.9433412176227409,210,178,0.9433412176227409
L,210X55,0.9419051560653467,210,178,0.9419051560653467
L,210X122,0.9417941421442731,210,178,0.9417941421442731
L,210X53,0.9416217353172823,210,178,0.9416217353172823
L,210X42,0.9384147656026542,210,178,0.9384147656026542
M,210X224,-0.9375848808216767,210,128,0.9375848808216767
M,210X218,-0.9375848808216765,210,128,0.9375848808216765
M,210X222,-0.9375848808216765,210,128,0.9375848808216765
M,210X221,-0.9375848808216765,210,128,0.9375848808216765
M,210X220,-0.9374271962484616,210,128,0.9374271962484616
J,210X27,-0.9318685128207392,210,142,0.9318685128207392
L,210X40,0.9312185013349639,210,178,0.9312185013349639
O,210X118,0.9295886182228527,210,86,0.9295886182228527
L,210X228,0.9284046849061947,210,178,0.9284046849061947
J,210X206,-0.927256506489904,210,142,0.927256506489904
O,210X168,0.9270612423160639,210,86,0.9270612423160639
O,210X120,0.9267859493658278,210,86,0.9267859493658278
O,210X134,0.926513513697578,210,86,0.926513513697578
O,210X162,0.926265860315503,210,86,0.926265860315503
O,210X132,0.9254492694774865,210,86,0.9254492694774865
M,210X7,-0.9202175520145573,210,128,0.9202175520145573
O,210X84,0.9158311838819143,210,86,0.9158311838819143
L,210X174,0.9093770821195568,210,178,0.9093770821195568
O,210X150,0.9065554183145776,210,86,0.9065554183145776
O,210X143,0.906142721699189,210,86,0.906142721699189
O,210X166,0.9060022232023297,210,86,0.9060022232023297
O,210X156,0.9048769805196739,210,86,0.9048769805196739
O,210X82,0.8991558045725675,210,86,0.8991558045725675
M,210X219,-0.8982830095049956,210,128,0.8982830095049956
O,210X167,0.8902945963747306,210,86,0.8902945963747306
O,210X133,0.8902237929741122,210,86,0.8902237929741122
O,210X188,0.8878319555693384,210,86,0.8878319555693384
O,210X119,0.8877943182085964,210,86,0.8877943182085964
M,210X188,-0.8874609124907635,210,128,0.8874609124907635
L,210X129,0.8871788683806613,210,178,0.8871788683806613
O,210X91,0.8871500219411473,210,86,0.8871500219411473
O,210X163,0.8861123281161774,210,86,0.8861123281161774
O,210X148,0.8854007434402416,210,86,0.8854007434402416
O,210X169,0.8843922980954528,210,86,0.8843922980954528
O,210X121,0.8840007799669608,210,86,0.8840007799669608
O,210X135,0.8838214137230811,210,86,0.8838214137230811
O,210X145,0.8785619780593771,210,86,0.8785619780593771
O,210X151,0.8773169532564536,210,86,0.8773169532564536
L,210X152,-0.8722624262861359,210,178,0.8722624262861359
O,210X157,0.8699126055304452,210,86,0.8699126055304452
J,210X30,-0.8694441457259577,210,142,0.8694441457259577
J,210X207,-0.8602866231167104,210,142,0.8602866231167104
L,210X203,0.859594019437075,210,178,0.859594019437075
L,210X26,0.8595467230867243,210,178,0.8595467230867243
L,210X201,0.8579480353125116,210,178,0.8579480353125116
L,210X212,0.8562458047693456,210,178,0.8562458047693456
N,210X212,-0.8552211628913212,210,266,0.8552211628913212
L,210X164,0.8551325347011014,210,178,0.8551325347011014
N,210X201,-0.8541962392515243,210,266,0.8541962392515243
N,210X26,-0.8535692261387349,210,266,0.8535692261387349
N,210X203,-0.853538341023358,210,266,0.853538341023358
J,310X84,0.8518756624841132,310,142,0.8518756624841132
J,310X76,0.8518756319745672,310,142,0.8518756319745672
J,310X68,0.8518756230556482,310,142,0.8518756230556482
J,310X60,0.851875406515471,310,142,0.851875406515471
J,310X64,0.8518746148688293,310,142,0.8518746148688293
J,310X56,0.8518746124832564,310,142,0.8518746124832564
J,310X72,0.8518746123791829,310,142,0.8518746123791829
J,310X80,0.8518746101265736,310,142,0.8518746101265736
N,210X9,-0.8492431318579416,210,266,0.8492431318579416
O,210X149,0.8483239733644903,210,86,0.8483239733644903
J,311X7,0.8458312263743448,311,142,0.8458312263743448
L,210X165,0.8453723618490313,210,178,0.8453723618490313
N,210X129,-0.8450725191837821,210,266,0.8450725191837821
O,210X155,0.8443457094736752,210,86,0.8443457094736752
O,210X210,0.8379412791173414,210,86,0.8379412791173414
J,210X89,-0.8359225976070797,210,142,0.8359225976070797
J,311X59,0.8306885200551128,311,142,0.8306885200551128
M,210X4,-0.8304609230856786,210,128,0.8304609230856786
L,210X155,0.8293850089486733,210,178,0.8293850089486733
L,210X189,0.8250164364012644,210,178,0.8250164364012644
J,311X22,0.8224698495073146,311,142,0.8224698495073146
J,750X1291,0.8190485219017359,750,142,0.8190485219017359
J,750X710,0.8190120943138386,750,142,0.8190120943138386
N,210X188,-0.8179334600789656,210,266,0.8179334600789656
J,311X171,0.8165029687342479,311,142,0.8165029687342479
J,311X170,0.8155989752580689,311,142,0.8155989752580689
J,210X90,0.8145198028845015,210,142,0.8145198028845015
J,330X1168,0.8125251581894686,330,142,0.8125251581894686
J,330X640,0.8123596439092472,330,142,0.8123596439092472
M,210X8,0.808588819939552,210,128,0.808588819939552
J,210X4,-0.8085055043593631,210,142,0.8085055043593631
J,311X164,0.8078840072924659,311,142,0.8078840072924659
J,311X163,0.8075422773534957,311,142,0.8075422773534957
M,210X229,-0.8071333764194994,210,128,0.8071333764194994
O,210X165,0.8044364434683788,210,86,0.8044364434683788
J,311X56,0.8040222349136162,311,142,0.8040222349136162
L,210X183,-0.8007682087698499,210,178,0.8007682087698499
J,311X20,0.7993491473390754,311,142,0.7993491473390754
J,311X6,0.7991646257790972,311,142,0.7991646257790972
J,220X91,0.79868157076842,220,142,0.79868157076842
J,220X75,0.7986815428674938,220,142,0.7986815428674938
J,220X83,0.7986814933873954,220,142,0.7986814933873954
J,220X67,0.7986812280532213,220,142,0.7986812280532213
J,220X87,0.7986803820970318,220,142,0.7986803820970318
J,220X79,0.7986802875099129,220,142,0.7986802875099129
J,220X95,0.7986798245194691,220,142,0.7986798245194691
J,311X54,0.7978838859759562,311,142,0.7978838859759562
J,220X71,0.7975416104319254,220,142,0.7975416104319254
J,311X60,0.7965614538906941,311,142,0.7965614538906941
M,210X194,-0.7944368824153725,210,128,0.7944368824153725
O,210X206,-0.7918584525589464,210,86,0.7918584525589464
N,210X211,-0.7911358747410376,210,266,0.7911358747410376
N,210X25,-0.7907704831907442,210,266,0.7907704831907442
N,210X202,-0.7906949788349156,210,266,0.7906949788349156
N,210X200,-0.7877446022990465,210,266,0.7877446022990465
J,311X55,0.7873250617153169,311,142,0.7873250617153169
L,210X128,0.7843740685519056,210,178,0.7843740685519056
J,300X10,0.7840320405087702,300,142,0.7840320405087702
L,210X125,0.7816654039469032,210,178,0.7816654039469032
M,210X89,-0.781499261635409,210,128,0.781499261635409
L,210X27,-0.7802459170087027,210,178,0.7802459170087027
J,300X20,0.774858609796918,300,142,0.774858609796918
J,300X2,0.7748229349752284,300,142,0.7748229349752284
L,210X154,0.7728756987621515,210,178,0.7728756987621515
J,300X14,0.7727915431231902,300,142,0.7727915431231902
N,210X128,-0.772261528599582,210,266,0.772261528599582
L,210X181,-0.7715933058061799,210,178,0.7715933058061799
J,311X77,0.7693063981717201,311,142,0.7693063981717201
J,210X139,0.7687346741400646,210,142,0.7687346741400646
N,210X189,-0.7687142050790208,210,266,0.7687142050790208
J,311X162,0.7665951206220314,311,142,0.7665951206220314
J,311X165,0.7651207618836489,311,142,0.7651207618836489
J,300X9,0.7646684835652491,300,142,0.7646684835652491
N,210X175,-0.7636053226502391,210,266,0.7636053226502391
L,210X58,0.7631102784389793,210,178,0.7631102784389793
L,210X10,0.7630517997971403,210,178,0.7630517997971403
J,300X6,0.7621229783184947,300,142,0.7621229783184947
J,360X710,0.7597828438309353,360,142,0.7597828438309353
L,210X200,0.7588159706228191,210,178,0.7588159706228191
J,300X13,0.7573183820432987,300,142,0.7573183820432987
J,311X169,0.756666847126117,311,142,0.756666847126117
J,300X7,0.7554217155042954,300,142,0.7554217155042954
J,311X58,0.7538740814850635,311,142,0.7538740814850635
L,210X25,0.7526052743514096,210,178,0.7526052743514096
L,210X202,0.7525181619581769,210,178,0.7525181619581769
L,210X211,0.7516261190641061,210,178,0.7516261190641061
O,520X68,-0.7507998271299273,520,86,0.7507998271299273
J,210X192,0.7490013187886935,210,142,0.7490013187886935
J,311X5,0.7482112185809632,311,142,0.7482112185809632
N,210X159,0.746097094360208,210,266,0.746097094360208
N,210X177,0.7420427830564914,210,266,0.7420427830564914
J,220X33,0.7409120295914494,220,142,0.7409120295914494
M,210X186,0.7392129001401433,210,128,0.7392129001401433
J,300X3,0.7387694918955753,300,142,0.7387694918955753
N,210X27,0.737351532845865,210,266,0.737351532845865
O,210X177,0.7371240880109478,210,86,0.7371240880109478
J,210X66,0.7369622058356426,210,142,0.7369622058356426
J,210X152,0.7369570730637757,210,142,0.7369570730637757
O,210X159,0.7340034545731912,210,86,0.7340034545731912
J,400X61,0.7339511156129144,400,142,0.7339511156129144
J,400X27,0.7339425877614028,400,142,0.7339425877614028
J,400X168,0.7331613842362632,400,142,0.7331613842362632
J,400X64,0.7331056726032049,400,142,0.7331056726032049
O,520X113,-0.7328336044879417,520,86,0.7328336044879417
J,400X65,0.7327592795047191,400,142,0.7327592795047191
J,400X219,0.7327086543159793,400,142,0.7327086543159793
J,400X9,0.7327078789267468,400,142,0.7327078789267468
J,400X7,0.7326659881860236,400,142,0.7326659881860236
J,400X25,0.7324893897520515,400,142,0.7324893897520515
O,330X363,-0.7316474695217527,330,86,0.7316474695217527
O,330X383,-0.7315332182135027,330,86,0.7315332182135027
O,330X373,-0.7314624832769734,330,86,0.7314624832769734
J,400X84,0.7314258858442407,400,142,0.7314258858442407
L,210X62,0.7312939661885005,210,178,0.7312939661885005
L,210X64,0.7306470648081446,210,178,0.7306470648081446
L,210X131,0.730554424084098,210,178,0.730554424084098
L,210X137,0.7304542389857358,210,178,0.7304542389857358
J,400X169,0.7302181535953568,400,142,0.7302181535953568
J,400X60,0.7301977454201534,400,142,0.7301977454201534
O,210X16,0.7259476828239123,210,86,0.7259476828239123
N,210X137,-0.7237372005179374,210,266,0.7237372005179374
N,210X64,-0.7236711868109388,210,266,0.7236711868109388
N,210X131,-0.7228816161298313,210,266,0.7228816161298313
N,210X62,-0.7227969157162539,210,266,0.7227969157162539
O,310X34,0.720992929514992,310,86,0.720992929514992
N,210X47,-0.7185640026239561,210,266,0.7185640026239561
N,210X139,-0.7171490579863581,210,266,0.7171490579863581
O,520X140,0.7153266192625174,520,86,0.7153266192625174
M,210X9,0.7132083627328107,210,128,0.7132083627328107
M,210X14,-0.710648740310175,210,128,0.710648740310175
J,210X229,-0.7092134037905917,210,142,0.7092134037905917
N,210X45,-0.7088726621300458,210,266,0.7088726621300458
N,210X74,-0.707386586044997,210,266,0.707386586044997
J,300X4,0.7024476726640122,300,142,0.7024476726640122
J,420X7,0.7018111439935744,420,142,0.7018111439935744
J,420X9,0.7017785162429442,420,142,0.7017785162429442
J,420X27,0.7017778320719668,420,142,0.7017778320719668
J,420X25,0.7017760767736966,420,142,0.7017760767736966
J,330X343,0.6961601684107774,330,142,0.6961601684107774
J,330X353,0.6958904053615371,330,142,0.6958904053615371
J,330X333,0.6956695918176016,330,142,0.6956695918176016
O,210X105,-0.6929951386870036,210,86,0.6929951386870036
O,520X96,-0.6929711452127951,520,86,0.6929711452127951
N,210X66,-0.6925865486230021,210,266,0.6925865486230021
O,520X135,-0.6918535516564776,520,86,0.6918535516564776
J,340X107,0.689958740831747,340,142,0.689958740831747
J,400X218,0.6897036334354203,400,142,0.6897036334354203
J,310X24,-0.6887764918086169,310,142,0.6887764918086169
N,210X4,0.6881699671477837,210,266,0.6881699671477837
J,750X885,-0.6877132871685065,750,142,0.6877132871685065
O,520X130,-0.6876114483483989,520,86,0.6876114483483989
J,400X170,0.6875667871358159,400,142,0.6875667871358159
N,210X187,0.6872350323620176,210,266,0.6872350323620176
L,210X47,0.686624350334675,210,178,0.686624350334675
J,400X82,0.6860932985523099,400,142,0.6860932985523099
J,210X230,-0.6858363841431496,210,142,0.6858363841431496
J,400X59,0.6838667092058688,400,142,0.6838667092058688
J,400X63,0.6833248616183553,400,142,0.6833248616183553
O,520X58,-0.6822488034798139,520,86,0.6822488034798139
J,400X167,0.6819221590498207,400,142,0.6819221590498207
J,400X5,0.6806748439523489,400,142,0.6806748439523489
L,210X45,0.6799797048402183,210,178,0.6799797048402183
O,520X38,-0.6789637096569068,520,86,0.6789637096569068
J,310X22,-0.678633533628006,310,142,0.678633533628006
O,520X98,-0.6770673961615412,520,86,0.6770673961615412
O,520X97,-0.6758643878222165,520,86,0.6758643878222165
O,210X3,-0.6755185106547522,210,86,0.6755185106547522
O,520X86,-0.6751594847250182,520,86,0.6751594847250182
O,520X36,-0.6743506436881241,520,86,0.6743506436881241
O,520X111,-0.6736643633793324,520,86,0.6736643633793324
O,520X79,0.673486002102421,520,86,0.673486002102421
O,520X89,-0.673486002102421,520,86,0.673486002102421
O,520X59,-0.673486002102421,520,86,0.673486002102421
O,520X44,-0.673486002102421,520,86,0.673486002102421
O,520X24,-0.673486002102421,520,86,0.673486002102421
O,520X34,-0.673486002102421,520,86,0.673486002102421
O,520X26,-0.673486002102421,520,86,0.673486002102421
O,520X74,-0.673486002102421,520,86,0.673486002102421
O,520X69,-0.673486002102421,520,86,0.673486002102421
O,520X64,0.673486002102421,520,86,0.673486002102421
O,520X104,-0.673486002102421,520,86,0.673486002102421
O,520X109,-0.673486002102421,520,86,0.673486002102421
O,520X128,-0.673486002102421,520,86,0.673486002102421
O,520X99,-0.673486002102421,520,86,0.673486002102421
O,520X94,-0.673486002102421,520,86,0.673486002102421
O,520X84,-0.673486002102421,520,86,0.673486002102421
O,520X114,-0.673486002102421,520,86,0.673486002102421
O,520X117,0.673486002102421,520,86,0.673486002102421
O,520X39,-0.673486002102421,520,86,0.673486002102421
O,520X11,-0.673486002102421,520,86,0.673486002102421
O,520X49,0.673486002102421,520,86,0.673486002102421
O,520X19,-0.6734860021024209,520,86,0.6734860021024209
O,520X21,-0.6725426454822077,520,86,0.6725426454822077
O,520X22,-0.6714311869130432,520,86,0.6714311869130432
O,Tool (#5),0.6708008331749609,UNKNOWN,86,0.6708008331749609
O,520X1,0.6679986837880859,520,86,0.6679986837880859
O,520X345,0.6676606222845068,520,86,0.6676606222845068
O,520X101,-0.6669293571641876,520,86,0.6669293571641876
O,210X10,-0.6659426772453432,210,86,0.6659426772453432
O,520X66,-0.6658857022859269,520,86,0.6658857022859269
O,520X56,-0.6654389223391912,520,86,0.6654389223391912
O,520X353,0.6642515244920275,520,86,0.6642515244920275
O,520X144,0.6642512987188671,520,86,0.6642512987188671
O,520X246,0.6642510729307913,520,86,0.6642510729307913
O,210X11,-0.6636213222468506,210,86,0.6636213222468506
J,210X5,0.6636166590329143,210,142,0.6636166590329143
O,520X12,-0.6615368738695784,520,86,0.6615368738695784
O,520X351,0.6605672453456757,520,86,0.6605672453456757
L,210X136,0.6602403021092119,210,178,0.6602403021092119
M,310X84,-0.6600118312261636,310,128,0.6600118312261636
M,310X68,-0.6600118251391046,310,128,0.6600118251391046
M,310X60,-0.6600114878510888,310,128,0.6600114878510888
M,310X76,-0.6600114499206797,310,128,0.6600114499206797
M,310X72,-0.6600114260770209,310,128,0.6600114260770209
M,310X80,-0.6600114084672107,310,128,0.6600114084672107
M,310X64,-0.6600114029972414,310,128,0.6600114029972414
M,310X56,-0.6600113754894137,310,128,0.6600113754894137
L,210X63,0.6599287023165921,210,178,0.6599287023165921
J,210X189,-0.6589930145444646,210,142,0.6589930145444646
O,520X108,-0.6587077477738145,520,86,0.6587077477738145
O,520X103,-0.6583254548594635,520,86,0.6583254548594635
M,210X91,-0.6582217943140439,210,128,0.6582217943140439
O,750X211,0.6580173573923245,750,86,0.6580173573923245
O,520X107,-0.6564634930995802,520,86,0.6564634930995802
J,330X704,0.6560494249823161,330,142,0.6560494249823161
J,330X707,0.655986003772782,330,142,0.655986003772782
J,330X701,0.65593231518609,330,142,0.65593231518609
O,520X134,-0.6540191880291886,520,86,0.6540191880291886
L,210X182,-0.6538875691086737,210,178,0.6538875691086737
O,520X37,-0.6527166731281856,520,86,0.6527166731281856
O,520X73,-0.6526768092247407,520,86,0.6526768092247407
J,310X19,0.6526261774878481,310,142,0.6526261774878481
L,210X130,0.6514067839594062,210,178,0.6514067839594062
L,210X61,0.6501953423265135,210,178,0.6501953423265135
O,520X23,-0.6482569786708107,520,86,0.6482569786708107
J,310X159,-0.6467176315929876,310,142,0.6467176315929876
N,210X183,-0.6464011101420972,210,266,0.6464011101420972
O,210X186,0.6457644443410205,210,86,0.6457644443410205
O,210X9,0.6455957920897312,210,86,0.6455957920897312
M,330X640,-0.6455356226247266,330,128,0.6455356226247266
M,330X1168,-0.645447104511494,330,128,0.645447104511494
J,310X20,0.6433038869986726,310,142,0.6433038869986726
N,210X155,-0.6425908031043838,210,266,0.6425908031043838
O,520X106,-0.6421241479721518,520,86,0.6421241479721518
O,210X107,-0.6417720250122729,210,86,0.6417720250122729
O,220X224,0.640052023875747,220,86,0.640052023875747
N,210X181,-0.6391081131764482,210,266,0.6391081131764482
O,312X193,0.638195111072542,312,86,0.638195111072542
J,310X15,-0.6356360519111603,310,142,0.6356360519111603
O,312X704,-0.6353133520682526,312,86,0.6353133520682526
J,330X147,0.6341238572863347,330,142,0.6341238572863347
J,330X140,0.6340436778986612,330,142,0.6340436778986612
J,330X157,0.6340280002774389,330,142,0.6340280002774389
O,520X129,-0.6315846616139988,520,86,0.6315846616139988
L,210X180,-0.6308424197679104,210,178,0.6308424197679104
N,210X180,-0.6282570471795527,210,266,0.6282570471795527
O,520X102,-0.6280125201106098,520,86,0.6280125201106098
O,520X13,-0.6279312607971747,520,86,0.6279312607971747
J,330X485,0.6276496690983705,330,142,0.6276496690983705
O,520X123,0.6273622934664542,520,86,0.6273622934664542
J,330X472,0.6250927623671197,330,142,0.6250927623671197
O,520X41,-0.6242097390526749,520,86,0.6242097390526749
N,210X182,-0.6241673948314811,210,266,0.6241673948314811
J,310X96,0.6239552723040602,310,142,0.6239552723040602
J,330X677,0.6236922570516177,330,142,0.6236922570516177
J,310X156,-0.6236687052374978,310,142,0.6236687052374978
J,330X671,0.6235988674319344,330,142,0.6235988674319344
J,330X674,0.6235224860558546,330,142,0.6235224860558546
O,520X27,-0.6234259055511704,520,86,0.6234259055511704
J,330X465,0.6206070630383614,330,142,0.6206070630383614
J,330X475,0.6204898039707294,330,142,0.6204898039707294
