duplicate_type,group_key,dataset,source_row_zero_based,ID,known_y,proxy_seconds
ID_within_dataset,NH1068,train,88,NH1068,3.315515136364166,1498199499.0
ID_within_dataset,NH1068,train,89,NH1068,3.315515136364166,1498199499.0
ID_within_dataset,NH1070,train,91,NH1070,2.8489684166679163,1498199374.0
ID_within_dataset,NH1070,train,92,NH1070,2.8489684166679163,1498199374.0
ID_within_dataset,NH1071,train,93,NH1071,2.968626496211667,1498199453.0
ID_within_dataset,NH1071,train,94,NH1071,2.968626496211667,1498199453.0
ID_within_dataset,NH1072,train,95,NH1072,2.833847981060416,1498188630.5
ID_within_dataset,NH1072,train,96,NH1072,2.833847981060416,1498188630.5
ID_within_dataset,NH1079,train,103,NH1079,2.9313184583325,1498199013.0
ID_within_dataset,NH1079,train,104,NH1079,2.9313184583325,1498199013.0
ID_within_dataset,NH1138,train,151,NH1138,2.5095889116158334,1497993722.0
ID_within_dataset,NH1138,train,152,NH1138,2.5095889116158334,1497993992.0
ID_within_dataset,NH1322,train,293,NH1322,2.8165363030316675,1498457474.0
ID_within_dataset,NH1322,train,294,NH1322,2.8165363030316675,1498615071.5
ID_within_dataset,NH1323,train,295,NH1323,2.5266099848475,1498456094.0
ID_within_dataset,NH1323,train,296,NH1323,2.5266099848475,1498614992.5
ID_within_dataset,NH1324,train,297,NH1324,2.9338776060612504,1498456010.0
ID_within_dataset,NH1324,train,298,NH1324,2.9338776060612504,1498614937.0
ID_within_dataset,NH1469,train,426,NH1469,3.3536392916670836,1498954010.5
ID_within_dataset,NH1469,train,427,NH1469,3.3536392916670836,1498954010.5
ID_within_dataset,NH1470,train,428,NH1470,2.9344255719695838,1498954068.0
ID_within_dataset,NH1470,train,429,NH1470,2.9344255719695838,1498954068.0
ID_within_dataset,NH1543,train,485,NH1543,2.9225200530312496,1499341104.0
ID_within_dataset,NH1543,train,486,NH1543,2.9225200530312496,1499387707.0
ID_within_dataset,NH1544,train,487,NH1544,2.946005458334166,1499341252.0
ID_within_dataset,NH1544,train,488,NH1544,2.946005458334166,1499387544.0
ID_within_dataset,NH1545,train,489,NH1545,2.5472088636362504,1499341315.0
ID_within_dataset,NH1545,train,490,NH1545,2.5472088636362504,1499387970.5
ID_within_dataset,NH1546,train,491,NH1546,2.8856455378787507,1499342032.0
ID_within_dataset,NH1546,train,492,NH1546,2.8856455378787507,1499388703.0
ID_within_dataset,NH1573,train,519,NH1573,2.7471295151525,1498648050.0
ID_within_dataset,NH1573,train,520,NH1573,2.7471295151525,1498617768.0
ID_within_dataset,NH1574,train,521,NH1574,2.7811293674241666,1498647951.0
ID_within_dataset,NH1574,train,522,NH1574,2.7811293674241666,1498621809.0
ID_within_dataset,NH1915,train,775,NH1915,2.79499519318125,1500787487.0
ID_within_dataset,NH1915,train,776,NH1915,2.79499519318125,1500787594.0
ID_within_dataset,NH1954,A,11,NH1954,3.007496083,1499644800.0
ID_within_dataset,NH1954,A,12,NH1954,3.007496083,1499644800.0
ID_within_dataset,NH0840,B,304,NH0840,,1497448176.5
ID_within_dataset,NH0840,B,305,NH0840,,1497448176.5
