feature,operation,feature_type,unit,physical_interpretation,interpretation_limit
raw__420X95,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X83,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X82,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X99,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__220X223,220,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__750X327,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__ERROR:#N/A_14,META,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X19,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X158,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__310__start_day,310,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__210X207,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__360X743,360,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__420__q25_z,420,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
time__220__end_day,220,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__311X53,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X26,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__750X1105,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X212,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X200,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X1203,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__340X15,340,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__440A__q75_z,440A,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__312X286,312,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X36,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X185,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__312X699,312,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X132,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__330__outlier_rate,330,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X163,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__360X741,360,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X159,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X206,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__520X87,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X174,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__400X170,400,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__344__outlier_rate,344,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X41,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__750X785,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X210,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__440A__mean_z,440A,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__311__max_z,311,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X102,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__ERROR:#N/A_11,META,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X9,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X94,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__300__mean_z,300,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__420X187,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X43,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__750X677,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__750__max_z,750,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
time__520__start_day,520,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__750X228,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X4,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X432,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X16,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__400__max_z,400,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X63,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X976,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__360X403,360,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X33,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__300__end_day,300,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__210X135,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X46,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__300__min_z,300,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__750X702,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__420__end_day,420,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__330X112,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__750X1083,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X123,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X5,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X150,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__300__median_z,300,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X34,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X53,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__220__start_day,220,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__311X72,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X144,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__440A__outlier_rate,440A,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__344X194,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X145,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__750X582,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__420__mean_z,420,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__210__mean_z,210,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__340X13,340,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X128,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X71,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__330__min_z,330,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
route__311_to_330__gap_hours,311_to_330,跨工序时间,小时或0/1,相邻工序等待时间或并行重叠状态,工序先后关系按编号排序，需要业务确认
proc__311__outlier_rate,311,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X191,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
