feature,position,operation,status,missing_rate,zero_rate,n_unique,timestamp_ratio
210X120,121,210,kept_numeric,0.0,0.005,648,0.0
210X121,122,210,kept_numeric,0.0,0.005,647,0.0
210X122,123,210,kept_numeric,0.0,0.005,56,0.0
210X123,124,210,kept_numeric,0.0,0.005,68,0.0
210X124,125,210,kept_numeric,0.0,0.005,9,0.0
210X125,126,210,kept_numeric,0.0,0.005,6,0.0
210X126,127,210,kept_numeric,0.0,0.005,6,0.0
210X127,128,210,kept_numeric,0.0,0.005,2,0.0
210X128,129,210,kept_numeric,0.0,0.005,57,0.0
210X129,130,210,kept_numeric,0.0,0.005,68,0.0
210X130,131,210,kept_numeric,0.0,0.005,67,0.0
210X131,132,210,kept_numeric,0.0,0.005,71,0.0
210X132,133,210,kept_numeric,0.0,0.005,674,0.0
210X133,134,210,kept_numeric,0.0,0.005,701,0.0
210X134,135,210,kept_numeric,0.0,0.005,644,0.0
210X135,136,210,kept_numeric,0.0,0.005,658,0.0
210X136,137,210,kept_numeric,0.0,0.005,63,0.0
210X137,138,210,kept_numeric,0.0,0.005,64,0.0
210X138,139,210,kept_numeric,0.0,0.005,9,0.0
210X139,140,210,kept_numeric,0.0,0.005,7,0.0
210X140,141,210,kept_numeric,0.0,0.005,4,0.0
210X141,142,210,kept_numeric,0.0,0.005,4,0.0
210X142,143,210,kept_numeric,0.0,0.005,283,0.0
210X143,144,210,kept_numeric,0.0,0.005,250,0.0
210X144,145,210,kept_numeric,0.0,0.005,786,0.0
210X145,146,210,kept_numeric,0.0,0.005,786,0.0
210X146,147,210,kept_numeric,0.0,0.005,27,0.0
210X147,148,210,kept_numeric,0.0,0.005,18,0.0
210X148,149,210,kept_numeric,0.0,0.005,699,0.0
210X149,150,210,kept_numeric,0.0,0.005,711,0.0
210X150,151,210,kept_numeric,0.0,0.005,662,0.0
210X151,152,210,kept_numeric,0.0,0.005,697,0.0
210X152,153,210,kept_numeric,0.0,0.0075,743,0.0
210X153,154,210,kept_numeric,0.0,0.0075,740,0.0
210X154,155,210,kept_numeric,0.0,0.005,233,0.0
210X155,156,210,kept_numeric,0.0,0.005,211,0.0
210X156,157,210,kept_numeric,0.0,0.005,701,0.0
210X157,158,210,kept_numeric,0.0,0.005,704,0.0
210X158,159,210,kept_numeric,0.0,0.005,267,0.0
210X159,160,210,kept_numeric,0.0,0.005,205,0.0
210X160,161,210,kept_numeric,0.0,0.005,88,0.0
210X161,162,210,kept_numeric,0.0,0.005,129,0.0
210X162,163,210,kept_numeric,0.0,0.005,686,0.0
210X163,164,210,kept_numeric,0.0,0.005,681,0.0
210X164,165,210,kept_numeric,0.0,0.005,230,0.0
210X165,166,210,kept_numeric,0.0,0.005,230,0.0
210X166,167,210,kept_numeric,0.0,0.005,684,0.0
210X167,168,210,kept_numeric,0.0,0.005,663,0.0
210X168,169,210,kept_numeric,0.0,0.005,660,0.0
210X169,170,210,kept_numeric,0.0,0.005,674,0.0
210X170,171,210,kept_numeric,0.0,0.005,295,0.0
210X171,172,210,kept_numeric,0.0,0.005,253,0.0
210X172,173,210,kept_numeric,0.0,0.005,79,0.0
210X173,174,210,kept_numeric,0.0,0.005,70,0.0
210X174,175,210,kept_numeric,0.0,0.005,150,0.0
210X175,176,210,kept_numeric,0.0,0.005,167,0.0
210X176,177,210,kept_numeric,0.0,0.005,258,0.0
210X177,178,210,kept_numeric,0.0,0.005,207,0.0
210X178,179,210,kept_numeric,0.0,0.005,86,0.0
210X179,180,210,kept_numeric,0.0,0.005,126,0.0
210X180,181,210,kept_numeric,0.0,0.00625,44,0.0
210X181,182,210,kept_numeric,0.0,0.0975,52,0.0
210X182,183,210,kept_numeric,0.0,0.005,25,0.0
210X183,184,210,kept_numeric,0.0,0.22625,21,0.0
210X184,185,210,kept_numeric,0.0,0.005,786,0.0033333333333333335
210X185,186,210,kept_numeric,0.0,0.005,786,0.0033333333333333335
210X186,187,210,kept_numeric,0.0,0.005,786,0.0
210X187,188,210,kept_numeric,0.0,0.005,786,0.0
210X188,189,210,kept_numeric,0.0,0.005,784,0.0
210X189,190,210,kept_numeric,0.0,0.005,763,0.0
210X190,191,210,kept_numeric,0.0,0.005,315,0.0
210X191,192,210,kept_numeric,0.0,0.005,40,0.0
210X192,193,210,kept_numeric,0.0,0.005,22,0.0
210X193,194,210,kept_numeric,0.0,0.1,46,0.0
210X194,195,210,kept_numeric,0.0,0.005,34,0.0
210X195,196,210,kept_numeric,0.0,0.005,345,0.0
210X196,197,210,removed_constant,0.0,1.0,1,0.0
210X197,198,210,removed_constant,0.0,1.0,1,0.0
210X198,199,210,removed_constant,0.0,1.0,1,0.0
210X199,200,210,kept_numeric,0.0,0.005,2,0.0
210X200,201,210,kept_numeric,0.0,0.005,53,0.0
210X201,202,210,kept_numeric,0.0,0.005,67,0.0
210X202,203,210,kept_numeric,0.0,0.005,53,0.0
210X203,204,210,kept_numeric,0.0,0.005,65,0.0
210X204,205,210,converted_timestamp,0.0,0.0,789,1.0
210X205,206,210,converted_timestamp,0.00125,0.0,788,1.0
210X206,207,210,kept_numeric,0.0,0.005,786,0.0
210X207,208,210,kept_numeric,0.0,0.005,786,0.0
210X209,209,210,kept_numeric,0.0,0.15,70,0.0
210X210,210,210,kept_numeric,0.0,0.15,385,0.0
210X211,211,210,kept_numeric,0.0,0.005,54,0.0
210X212,212,210,kept_numeric,0.0,0.005,70,0.0
210X213,213,210,converted_timestamp,0.005,0.0,785,1.0
210X214,214,210,kept_numeric,0.0,0.005,5,0.0
210X215,215,210,converted_timestamp,0.005,0.0,785,1.0
ERROR:#N/A_3,216,META,removed_constant,0.0,0.0,1,0.0
ERROR:#N/A_4,217,META,kept_numeric,0.0,0.005,786,0.0
210X216,218,210,removed_duplicate,0.0,0.005,786,0.0
210X217,219,210,kept_numeric,0.0,0.005,786,0.0
210X218,220,210,kept_numeric,0.0,0.11125,2,0.0
210X219,221,210,kept_numeric,0.0,0.11125,150,0.0
210X220,222,210,kept_numeric,0.0,0.11125,6,0.0
210X221,223,210,kept_numeric,0.0,0.11125,2,0.0
210X222,224,210,kept_numeric,0.0,0.11125,2,0.0
210X223,225,210,removed_duplicate,0.0,0.11125,2,0.0
210X224,226,210,kept_numeric,0.0,0.11125,2,0.0
210X225,227,210,kept_numeric,0.0,0.005,2,0.0
210X226,228,210,kept_numeric,0.0,0.005,9,0.0
210X227,229,210,removed_constant,0.0,1.0,1,0.0
210X228,230,210,kept_numeric,0.0,0.15,18,0.0
210X229,231,210,kept_numeric,0.0,0.15,11,0.0
210X230,232,210,kept_numeric,0.0,0.15,31,0.0
210X231,233,210,kept_numeric,0.0,0.15,32,0.0
220X1,234,220,removed_constant,0.0,1.0,1,0.0
220X2,235,220,kept_numeric,0.0,0.0,765,0.0
220X3,236,220,kept_numeric,0.0,0.0,26,0.0
220X4,237,220,kept_numeric,0.0,0.0,765,0.0
220X5,238,220,kept_numeric,0.0,0.0,765,0.0
220X6,239,220,kept_numeric,0.0,0.0,764,0.0
220X7,240,220,removed_constant,0.0,0.0,1,0.0
220X8,241,220,kept_numeric,0.0,0.0,765,0.0
220X9,242,220,kept_numeric,0.0,0.0,765,0.0
220X10,243,220,kept_numeric,0.0,0.0,765,0.0
220X11,244,220,kept_numeric,0.0,0.0,765,0.0
220X12,245,220,kept_numeric,0.0,0.0,764,0.0
220X13,246,220,kept_numeric,0.0,0.0,765,0.0
220X14,247,220,kept_numeric,0.0,0.05,4,0.0
220X15,248,220,kept_numeric,0.0,0.32125,3,0.0
220X16,249,220,removed_duplicate,0.0,0.0,26,0.0
220X17,250,220,removed_constant,0.0,0.0,1,0.0
220X18,251,220,kept_numeric,0.0,0.32125,3,0.0
220X19,252,220,kept_numeric,0.0,0.32125,3,0.0
220X20,253,220,kept_numeric,0.0,0.32125,3,0.0
220X21,254,220,kept_numeric,0.0,0.32125,3,0.0
220X22,255,220,removed_duplicate,0.0,0.05,4,0.0
220X23,256,220,removed_duplicate,0.0,0.32125,3,0.0
220X24,257,220,removed_constant,0.0,1.0,1,0.0
220X25,258,220,removed_constant,0.0,0.0,1,0.0
220X26,259,220,kept_numeric,0.0,0.0,345,0.0
220X27,260,220,kept_numeric,0.0,0.0,638,0.0
220X28,261,220,kept_numeric,0.0,0.0,419,0.0
220X29,262,220,kept_numeric,0.0,0.0,683,0.0
220X30,263,220,kept_numeric,0.0,0.0,408,0.0
220X31,264,220,kept_numeric,0.0,0.0,637,0.0
220X32,265,220,kept_numeric,0.0,0.0,311,0.0
220X33,266,220,kept_numeric,0.0,0.0,178,0.0
220X34,267,220,removed_constant,0.0,0.0,1,0.0
220X35,268,220,removed_constant,0.0,1.0,1,0.0
220X36,269,220,removed_constant,0.0,1.0,1,0.0
220X37,270,220,removed_constant,0.0,1.0,1,0.0
220X38,271,220,removed_constant,0.0,1.0,1,0.0
220X39,272,220,removed_constant,0.0,1.0,1,0.0
220X40,273,220,removed_constant,0.0,1.0,1,0.0
220X53,274,220,kept_numeric,0.0,0.0,7,0.0
220X54,275,220,kept_numeric,0.0,0.0325,93,0.0
220X55,276,220,kept_numeric,0.0,0.0,434,0.0
220X57,277,220,removed_constant,0.0,0.0,1,0.0
220X58,278,220,removed_constant,0.0,0.0,1,0.0
220X60,279,220,removed_duplicate,0.0,0.0,26,0.0
220X61,280,220,removed_constant,0.0,1.0,1,0.0
220X62,281,220,removed_constant,0.0,1.0,1,0.0
220X63,282,220,removed_constant,0.0,1.0,1,0.0
220X66,283,220,removed_duplicate,0.0,0.0,26,0.0
220X67,284,220,converted_timestamp,0.0,0.0,765,1.0
220X70,285,220,kept_numeric,0.00125,0.0,26,0.0
220X71,286,220,converted_timestamp,0.00125,0.0,764,1.0
220X74,287,220,removed_duplicate,0.0,0.0,26,0.0
220X75,288,220,converted_timestamp,0.0,0.0,765,1.0
220X78,289,220,removed_duplicate,0.0,0.0,26,0.0
220X79,290,220,converted_timestamp,0.0,0.0,765,1.0
220X82,291,220,removed_duplicate,0.0,0.0,26,0.0
220X83,292,220,converted_timestamp,0.0,0.0,765,1.0
220X86,293,220,removed_duplicate,0.0,0.0,26,0.0
220X87,294,220,converted_timestamp,0.0,0.0,765,1.0
220X90,295,220,removed_duplicate,0.0,0.0,26,0.0
220X91,296,220,converted_timestamp,0.0,0.0,765,1.0
220X94,297,220,removed_duplicate,0.0,0.0,26,0.0
220X95,298,220,converted_timestamp,0.0,0.0,765,1.0
220X98,299,220,removed_duplicate,0.0,0.0,26,0.0
220X99,300,220,removed_constant,0.0,0.0,1,0.0
220X103,301,220,removed_duplicate,0.0,0.0,26,0.0
220X104,302,220,removed_constant,0.0,0.0,1,0.0
220X106,303,220,removed_constant,0.0,1.0,1,0.0
220X107,304,220,kept_numeric,0.0,0.0,43,0.0
220X108,305,220,kept_numeric,0.0,0.9975,2,0.0
220X109,306,220,removed_duplicate,0.0,0.0,26,0.0
220X110,307,220,kept_numeric,0.0,0.0,765,0.0
220X111,308,220,removed_constant,0.0,0.0,1,0.0
220X112,309,220,kept_numeric,0.0,0.0,765,0.0
220X113,310,220,removed_constant,0.0,0.0,1,0.0
220X114,311,220,kept_numeric,0.0,0.0,765,0.0
220X115,312,220,removed_constant,0.0,0.0,1,0.0
220X116,313,220,kept_numeric,0.0,0.0,765,0.0
220X117,314,220,removed_constant,0.0,0.0,1,0.0
220X118,315,220,kept_numeric,0.0,0.0,765,0.0
220X119,316,220,removed_constant,0.0,0.0,1,0.0
220X120,317,220,kept_numeric,0.0,0.0,765,0.0
220X121,318,220,removed_constant,0.0,0.0,1,0.0
220X122,319,220,kept_numeric,0.0,0.0,765,0.0
220X123,320,220,removed_constant,0.0,0.0,1,0.0
220X124,321,220,kept_numeric,0.0,0.0,765,0.0
220X125,322,220,removed_constant,0.0,0.0,1,0.0
220X126,323,220,kept_numeric,0.0,0.0,765,0.0
220X127,324,220,removed_constant,0.0,0.0,1,0.0
220X128,325,220,kept_numeric,0.0,0.0,765,0.0
220X129,326,220,removed_constant,0.0,0.0,1,0.0
220X130,327,220,kept_numeric,0.0,0.0,765,0.0
220X131,328,220,removed_constant,0.0,0.0,1,0.0
220X132,329,220,kept_numeric,0.0,0.0,765,0.0
220X133,330,220,removed_constant,0.0,0.0,1,0.0
220X135,331,220,removed_constant,0.0,0.0,1,0.0
220X138,332,220,removed_duplicate,0.0,0.0,26,0.0
220X140,333,220,removed_duplicate,0.0,0.0,26,0.0
220X141,334,220,kept_numeric,0.0,0.0,761,0.0
220X142,335,220,kept_numeric,0.0,0.0,765,0.0
220X143,336,220,kept_numeric,0.0,0.0,761,0.0
220X147,337,220,removed_duplicate,0.0,0.0,26,0.0
220X148,338,220,removed_all_nan,1.0,0.0,0,0.0
220X149,339,220,removed_all_nan,1.0,0.0,0,0.0
220X150,340,220,removed_constant,0.99875,0.0,1,0.0
220X151,341,220,removed_constant,0.99875,0.0,1,1.0
220X153,342,220,removed_constant,0.0,0.0,1,0.0
220X154,343,220,removed_constant,0.0,0.0,1,0.0
220X155,344,220,kept_numeric,0.0,0.0,2,0.0
220X156,345,220,removed_constant,0.0,0.0,1,0.0
220X157,346,220,removed_constant,0.0,0.0,1,0.0
220X158,347,220,removed_constant,0.0,0.0,1,0.0
220X159,348,220,removed_constant,0.0,0.0,1,0.0
220X160,349,220,removed_constant,0.0,0.0,1,0.0
220X161,350,220,removed_constant,0.0,0.0,1,0.0
220X162,351,220,removed_all_nan,1.0,0.0,0,0.0
220X163,352,220,kept_numeric,0.0,0.0,89,0.0
220X164,353,220,kept_numeric,0.0,0.0,63,0.0
220X165,354,220,kept_numeric,0.0,0.0,64,0.0
220X166,355,220,kept_numeric,0.0,0.0,67,0.0
220X167,356,220,kept_numeric,0.0,0.0,153,0.0
220X168,357,220,kept_numeric,0.0,0.0,45,0.0
220X169,358,220,kept_numeric,0.0,0.0,45,0.0
220X170,359,220,kept_numeric,0.0,0.0,13,0.0
220X171,360,220,kept_numeric,0.0,0.0,14,0.0
220X172,361,220,kept_numeric,0.0,0.0,21,0.0
220X173,362,220,kept_numeric,0.0,0.0,10,0.0
220X174,363,220,kept_numeric,0.0,0.0,22,0.0
220X175,364,220,kept_numeric,0.0,0.0,16,0.0
220X176,365,220,kept_numeric,0.0,0.0,22,0.0
220X177,366,220,kept_numeric,0.0,0.0,7,0.0
220X178,367,220,kept_numeric,0.0,0.0,4,0.0
220X179,368,220,kept_numeric,0.0,0.0,2,0.0
220X180,369,220,kept_numeric,0.0,0.0,5,0.0
220X181,370,220,kept_numeric,0.0,0.0,2,0.0
220X182,371,220,kept_numeric,0.0,0.0,2,0.0
220X183,372,220,kept_numeric,0.0,0.0,3,0.0
220X184,373,220,kept_numeric,0.0,0.0,9,0.0
220X185,374,220,kept_numeric,0.0,0.0,8,0.0
220X186,375,220,kept_numeric,0.0,0.0,8,0.0
220X187,376,220,kept_numeric,0.0,0.0,7,0.0
220X188,377,220,kept_numeric,0.0,0.0,10,0.0
220X189,378,220,kept_numeric,0.0,0.0,6,0.0
220X190,379,220,kept_numeric,0.0,0.0,10,0.0
220X191,380,220,kept_numeric,0.0,0.0,16,0.0
220X192,381,220,kept_numeric,0.0,0.0,12,0.0
220X193,382,220,kept_numeric,0.0,0.0,12,0.0
220X194,383,220,kept_numeric,0.0,0.0,7,0.0
220X195,384,220,kept_numeric,0.0,0.0,8,0.0
220X196,385,220,kept_numeric,0.0,0.0,9,0.0
220X197,386,220,kept_numeric,0.0,0.0,9,0.0
220X198,387,220,removed_constant,0.0,0.0,1,0.0
220X199,388,220,removed_constant,0.0,0.0,1,0.0
220X200,389,220,removed_constant,0.0,0.0,1,0.0
220X201,390,220,removed_constant,0.0,0.0,1,0.0
220X202,391,220,removed_constant,0.0,0.0,1,0.0
220X203,392,220,removed_all_nan,1.0,0.0,0,0.0
220X204,393,220,kept_numeric,0.0,0.0,714,0.0
220X205,394,220,removed_constant,0.0,0.0,1,0.0
220X206,395,220,removed_constant,0.0,0.0,1,0.0
220X207,396,220,removed_constant,0.0,0.0,1,0.0
220X208,397,220,removed_constant,0.0,0.0,1,0.0
220X209,398,220,removed_all_nan,1.0,0.0,0,0.0
220X210,399,220,removed_constant,0.0,0.0,1,0.0
220X211,400,220,removed_constant,0.0,0.0,1,0.0
220X212,401,220,removed_constant,0.0,0.0,1,0.0
220X213,402,220,removed_constant,0.0,0.0,1,0.0
220X214,403,220,removed_all_nan,1.0,0.0,0,0.0
220X215,404,220,removed_all_nan,1.0,0.0,0,0.0
220X216,405,220,kept_numeric,0.0,0.0,81,0.0
220X217,406,220,kept_numeric,0.0,0.0,234,0.0
220X218,407,220,kept_numeric,0.0,0.0,151,0.0
220X219,408,220,removed_duplicate,0.0,0.0,26,0.0
220X220,409,220,removed_constant,0.0,0.0,1,0.0
220X222,410,220,removed_constant,0.0,0.0,1,0.0
220X223,411,220,kept_numeric,0.0,0.0,27,0.0
220X224,412,220,kept_numeric,0.0,0.00625,212,0.0
300X1,413,300,kept_numeric,0.035,0.0,746,0.0
300X2,414,300,converted_timestamp,0.03375,0.0,747,1.0
300X3,415,300,converted_timestamp,0.065,0.0,726,1.0
300X4,416,300,converted_timestamp,0.14875,0.0,662,1.0
300X5,417,300,kept_numeric,0.04,0.0,744,0.0
300X6,418,300,converted_timestamp,0.04,0.0,745,1.0
300X7,419,300,converted_timestamp,0.0525,0.0,734,1.0
300X8,420,300,kept_numeric,0.02875,0.0,751,0.0
300X9,421,300,converted_timestamp,0.0225,0.0,757,1.0
300X10,422,300,converted_timestamp,0.025,0.0,754,1.0
300X11,423,300,kept_numeric,0.0275,0.0,570,0.0
300X12,424,300,kept_numeric,0.03,0.0,751,0.0
300X13,425,300,converted_timestamp,0.0325,0.0,749,1.0
300X14,426,300,converted_timestamp,0.03,0.0,751,1.0
300X15,427,300,removed_constant,0.0225,0.0,1,0.0
300X16,428,300,removed_constant,0.02,0.0,1,0.0
300X17,429,300,removed_constant,0.02125,0.0,1,0.0
300X18,430,300,removed_constant,0.02625,0.97375,1,0.0
300X19,431,300,removed_constant,0.06625,0.0,1,0.0
300X20,432,300,converted_timestamp,0.01625,0.0,761,1.0
300X21,433,300,removed_constant,0.03,0.0,1,0.0
310X1,434,310,removed_constant,0.0,1.0,1,0.0
310X2,435,310,kept_numeric,0.0,0.0,764,0.0
310X3,436,310,removed_duplicate,0.0,0.0,26,0.0
310X4,437,310,kept_numeric,0.0,0.0,765,0.0
310X5,438,310,kept_numeric,0.0,0.0,764,0.0
310X6,439,310,kept_numeric,0.0,0.0,765,0.0
310X7,440,310,removed_constant,0.0,0.0,1,0.0
310X8,441,310,kept_numeric,0.0,0.0,765,0.0
310X9,442,310,kept_numeric,0.0,0.0,765,0.0
310X10,443,310,kept_numeric,0.0,0.0,765,0.0
310X11,444,310,kept_numeric,0.0,0.0,765,0.0
310X12,445,310,kept_numeric,0.0,0.0,765,0.0
310X13,446,310,kept_numeric,0.0,0.0,765,0.0
310X14,447,310,kept_numeric,0.0,0.1125,8,0.0
310X15,448,310,kept_numeric,0.0,0.1125,8,0.0
310X17,449,310,removed_duplicate,0.0,0.0,26,0.0
310X18,450,310,removed_constant,0.0,0.0,1,0.0
310X19,451,310,kept_numeric,0.0,0.645,7,0.0
310X20,452,310,kept_numeric,0.0,0.645,7,0.0
310X21,453,310,kept_numeric,0.0,0.645,7,0.0
310X22,454,310,kept_numeric,0.0,0.645,7,0.0
310X23,455,310,kept_numeric,0.0,0.645,7,0.0
310X24,456,310,kept_numeric,0.0,0.645,7,0.0
310X25,457,310,removed_constant,0.0,1.0,1,0.0
310X26,458,310,removed_constant,0.0,0.0,1,0.0
310X27,459,310,kept_numeric,0.0,0.0,493,0.0
310X28,460,310,kept_numeric,0.0,0.0,660,0.0
310X29,461,310,kept_numeric,0.0,0.0,478,0.0
310X30,462,310,kept_numeric,0.0,0.0,679,0.0
310X31,463,310,kept_numeric,0.0,0.0,428,0.0
310X32,464,310,kept_numeric,0.0,0.0,602,0.0
310X33,465,310,kept_numeric,0.0,0.0,255,0.0
310X34,466,310,kept_numeric,0.0,0.0025,179,0.0
310X35,467,310,removed_constant,0.0,0.0,1,0.0
310X36,468,310,kept_numeric,0.0,0.9925,6,0.0
310X37,469,310,kept_numeric,0.0,0.9925,3,0.0
310X38,470,310,kept_numeric,0.0,0.9925,2,0.0
310X39,471,310,removed_constant,0.0,1.0,1,0.0
310X40,472,310,removed_constant,0.0,1.0,1,0.0
310X41,473,310,removed_constant,0.0,1.0,1,0.0
310X42,474,310,kept_numeric,0.0,0.0,6,0.0
310X43,475,310,kept_numeric,0.0,0.01125,35,0.0
310X44,476,310,kept_numeric,0.0,0.0,578,0.0
