fold,seed,feature
1,42,520X36
1,42,420X208
1,42,210X64
1,42,311X113
1,42,420X96
1,42,210X167
1,42,312X696
1,42,520X26
1,42,520X89
1,42,520X49
1,42,210X222
1,42,210X169
1,42,520X144
1,42,312X154
1,42,520X79
1,42,210X43
1,42,340X125
1,42,520X97
1,42,520X345
1,42,520X74
1,42,520X285
1,42,360X582
1,42,520X102
1,42,360X971
1,42,520X59
1,42,210X11
1,42,311X28
1,42,520X84
1,42,330X345
1,42,340X161
1,42,340X2
1,42,520X400
1,42,520X128
1,42,210X186
1,42,420X114
1,42,520X21
1,42,360X984
1,42,420X139
1,42,520X1
1,42,210X130
1,42,520X246
1,42,520X67
1,42,340X139
1,42,311X212
1,42,420X98
1,42,360X635
1,42,520X109
1,42,520X64
1,42,330X365
1,143,311X32
1,143,311X192
1,143,311X129
1,143,311X194
1,143,311X33
1,143,311X183
1,143,311X196
1,143,311X184
1,143,344X48
1,143,344X158
1,143,344X13
1,143,ERROR:#N/A_16
1,143,344X105
1,143,344X154
1,143,344X87
1,143,344X92
1,143,311X29
1,143,344X159
1,143,ERROR:#N/A_9
1,143,344X172
1,143,344X119
1,143,344X78
1,143,344X103
1,143,344X190
1,143,344X85
1,143,344X1
1,143,311X147
1,143,311X189
1,143,344X10
1,143,311X137
1,143,311X193
1,143,311X131
1,143,311X223
1,143,344X110
1,143,344X114
1,143,344X19
1,143,344X221
1,143,311X86
1,143,ERROR:#N/A_14
1,143,344X5
1,143,344X6
1,143,344X83
1,143,344X73
1,143,344X225
1,143,311X152
1,143,311X89
1,143,311X133
1,143,ERROR:#N/A_8
1,143,344X77
1,143,311X9
1,143,750X1116
1,143,311X146
1,143,344X55
1,143,344X186
1,143,311X68
1,143,311X87
1,143,311X88
1,143,311X11
1,143,311X30
1,143,311X90
1,143,311X117
1,143,750X91
1,143,344X212
1,143,344X15
1,143,311X182
1,143,344X62
1,143,311X73
1,143,311X151
1,143,750X25
1,143,340X13
1,143,520X33
1,143,311X92
1,143,311X155
1,143,210X150
1,143,311X200
1,143,210X83
1,143,344X208
1,143,750X1305
1,143,344X66
1,143,340X15
1,143,311X10
1,143,311X136
1,143,420X97
1,143,340X59
1,143,210X162
1,143,311X134
1,143,210X168
1,143,311X197
1,143,210X148
1,143,210X132
1,143,210X144
1,143,344X185
1,143,311X135
1,143,311X71
1,143,311X127
1,143,311X12
1,143,311X63
1,143,420X202
1,143,311X65
1,143,311X95
1,143,210X81
1,143,344X194
1,143,ERROR:#N/A_11
1,143,311X75
1,143,210X118
1,143,311X61
1,143,210X120
1,143,420X92
1,143,311X142
1,143,330X800
1,143,311X103
1,143,210X134
1,143,311X1
1,143,311X81
1,143,210X151
1,143,340X11
1,143,420X159
1,143,520X178
1,143,311X62
1,143,420X36
1,143,520X32
1,143,420X139
1,143,210X119
1,143,420X189
1,143,311X190
1,143,311X70
1,143,311X25
1,143,330X368
1,143,311X85
1,143,210X166
1,143,311X66
1,143,210X218
1,143,344X71
1,143,520X124
1,143,311X82
1,143,311X80
1,143,311X26
1,143,311X195
1,143,311X188
1,143,210X181
1,143,210X157
1,143,210X82
1,143,311X104
1,143,520X295
1,143,311X69
1,143,210X183
1,143,750X776
1,143,311X8
1,143,750X541
1,143,311X187
1,143,420X198
1,143,210X219
1,143,311X83
1,143,311X191
1,143,311X67
1,143,420X188
1,143,210X128
1,143,210X133
1,143,420X99
1,143,311X204
1,143,420X31
1,143,520X77
1,143,210X84
1,143,520X68
1,143,344X150
1,143,420X197
1,143,210X7
1,143,311X207
1,143,340X124
1,143,311X205
1,143,520X107
1,143,210X8
1,143,210X142
1,143,420X38
1,143,311X94
1,143,210X221
1,143,520X113
1,143,420X96
1,143,520X88
1,143,311X72
1,143,311X107
1,143,750X1146
1,143,311X84
1,143,311X91
1,143,311X74
1,143,420X135
1,143,420X67
1,143,520X108
1,143,420X141
1,143,210X163
1,143,420X98
1,143,420X201
1,143,330X182
1,143,420X68
1,143,420X70
1,143,420X157
1,143,210X56
1,143,210X222
1,143,311X154
1,143,210X156
1,143,520X327
1,143,210X202
1,143,311X27
1,143,520X102
1,143,420X34
1,143,420X187
1,143,520X329
1,143,750X645
1,143,340X83
1,143,420X94
1,143,520X143
1,143,520X106
1,143,210X25
1,143,312X155
1,143,520X62
1,143,210X145
1,143,311X109
1,143,520X323
1,143,210X185
1,143,312X154
1,143,420X69
1,143,330X256
1,143,520X140
1,143,311X76
1,143,520X400
1,143,420X71
1,143,311X4
1,143,750X696
1,143,312X153
1,143,340X61
1,143,210X138
1,143,420X199
1,143,340X132
1,143,311X115
1,143,210X121
1,143,311X93
1,143,750X185
1,143,520X6
1,143,520X353
1,143,210X117
1,143,420X1
1,143,210X224
1,143,210X186
1,143,520X103
1,143,420X91
1,143,520X89
1,143,340X134
1,143,344X112
1,143,520X242
1,143,420X156
1,143,520X64
1,143,210X149
1,143,344X20
1,143,311X203
1,143,311X209
1,143,340X5
1,143,344X149
1,143,340X65
1,143,520X59
1,143,520X39
1,143,311X128
1,143,520X22
1,143,750X1267
1,143,520X283
1,143,330X378
1,143,210X42
1,143,210X169
1,143,520X19
1,143,520X44
1,143,210X220
1,143,520X61
1,143,440AX136
1,143,520X74
1,143,520X69
1,143,750X1383
1,143,520X104
1,143,311X28
1,143,520X84
1,143,520X111
1,143,520X1
1,143,344X106
1,143,520X21
1,143,210X184
1,143,311X130
1,143,210X167
1,143,520X246
1,143,520X86
1,143,311X211
1,143,520X12
1,143,311X113
1,143,420X140
1,143,520X11
1,143,520X241
1,143,520X135
1,143,520X99
1,143,520X129
1,143,312X217
1,143,520X101
1,143,420X208
1,143,520X36
1,143,520X34
1,143,520X87
1,143,220X3
1,143,520X94
1,143,520X76
1,143,520X26
1,143,210X182
1,143,520X117
1,143,330X345
1,143,520X404
1,143,210X143
1,143,520X38
1,143,210X65
1,143,520X97
1,143,520X71
1,143,311X53
1,143,311X31
1,143,360X434
1,143,400X34
1,143,311X208
1,244,311X32
1,244,311X129
1,244,311X192
1,244,311X29
1,244,311X194
1,244,344X172
1,244,344X114
1,244,344X87
1,244,344X105
1,244,ERROR:#N/A_16
1,244,344X110
1,244,344X78
1,244,344X154
1,244,344X159
1,244,311X33
1,244,311X184
1,244,ERROR:#N/A_9
1,244,311X196
1,244,344X158
1,244,311X189
1,244,344X48
1,244,311X147
1,244,344X83
1,244,344X92
1,244,344X119
1,244,311X193
1,244,311X131
1,244,ERROR:#N/A_14
1,244,311X223
1,244,344X1
1,244,344X15
1,244,344X103
1,244,344X221
1,244,344X10
1,244,344X190
1,244,344X53
1,244,344X225
1,244,311X137
1,244,344X77
1,244,311X183
1,244,344X85
1,244,311X86
1,244,344X13
1,244,311X135
1,244,311X152
1,244,344X6
1,244,344X19
1,244,344X73
1,244,311X9
1,244,311X89
1,244,344X5
1,244,ERROR:#N/A_8
1,244,311X90
1,244,311X133
1,244,344X71
1,244,311X146
1,244,750X91
1,244,311X117
1,244,311X87
1,244,311X11
1,244,344X212
1,244,311X155
1,244,311X182
1,244,750X541
1,244,311X95
1,244,311X68
1,244,344X64
1,244,311X88
1,244,340X59
1,244,311X127
1,244,340X13
1,244,750X1190
1,244,311X151
1,244,210X168
1,244,210X144
1,244,210X150
1,244,311X75
1,244,311X10
1,244,210X162
1,244,344X55
1,244,311X73
1,244,520X31
1,244,420X97
1,244,311X92
1,244,750X25
1,244,340X11
1,244,311X197
1,244,210X148
1,244,311X71
1,244,311X61
1,244,520X32
1,244,311X69
1,244,311X74
1,244,311X70
1,244,420X92
1,244,311X63
1,244,420X188
1,244,210X83
1,244,210X134
1,244,311X211
1,244,520X295
1,244,311X30
1,244,750X1116
1,244,311X65
1,244,210X118
1,244,344X194
1,244,210X81
1,244,520X47
1,244,210X132
1,244,311X1
1,244,311X93
1,244,ERROR:#N/A_11
1,244,311X103
1,244,311X62
1,244,210X156
1,244,311X66
1,244,750X776
1,244,311X107
1,244,210X166
1,244,311X94
1,244,750X1212
1,244,420X36
1,244,420X139
1,244,420X159
1,244,311X104
1,244,210X219
1,244,344X185
1,244,210X149
1,244,210X8
1,244,311X26
1,244,311X84
1,244,311X25
1,244,210X190
1,244,210X163
1,244,520X33
1,244,344X20
1,244,420X189
1,244,420X135
1,244,330X385
1,244,520X327
1,244,750X1383
1,244,311X80
1,244,210X206
1,244,210X120
1,244,420X35
1,244,420X94
1,244,420X31
1,244,311X187
1,244,311X190
1,244,750X637
1,244,210X119
1,244,420X202
1,244,311X195
1,244,311X188
1,244,311X191
1,244,210X121
1,244,750X595
1,244,311X204
1,244,340X5
1,244,344X150
1,244,340X134
1,244,420X138
1,244,210X169
1,244,311X83
1,244,520X88
1,244,311X109
1,244,344X176
1,244,520X68
1,244,420X141
1,244,420X156
1,244,311X205
1,244,750X1245
1,244,420X67
1,244,311X82
1,244,340X132
1,244,210X135
1,244,311X207
1,244,520X113
1,244,311X203
1,244,420X98
1,244,210X157
1,244,210X221
1,244,210X181
1,244,311X85
1,244,311X12
1,244,420X99
1,244,420X69
1,244,330X378
1,244,311X142
1,244,420X198
1,244,311X200
1,244,311X128
1,244,420X160
1,244,340X2
1,244,210X41
1,244,520X62
1,244,420X70
1,244,420X38
1,244,330X201
1,244,520X323
1,244,311X72
1,244,344X208
1,244,344X186
1,244,311X210
1,244,340X61
1,244,311X91
1,244,311X209
1,244,210X133
1,244,210X186
1,244,210X151
1,244,312X286
1,244,420X115
1,244,210X142
1,244,440AX136
1,244,311X154
1,244,420X201
1,244,420X187
1,244,520X108
1,244,210X184
1,244,520X143
1,244,520X177
1,244,520X134
1,244,340X165
1,244,210X61
1,244,210X201
1,244,311X27
1,244,312X154
1,244,312X153
1,244,520X43
1,244,210X7
1,244,330X167
1,244,210X143
1,244,311X8
1,244,520X128
1,244,311X4
1,244,210X3
1,244,520X38
1,244,312X155
1,244,520X246
1,244,344X112
1,244,210X224
1,244,210X207
1,244,420X197
1,244,330X395
1,244,520X26
1,244,312X699
1,244,360X1288
1,244,311X28
1,244,220X3
1,244,520X56
1,244,520X124
1,244,360X582
1,244,520X1
1,244,311X130
1,244,750X1305
1,244,344X149
1,244,360X34
1,244,400X34
1,244,360X434
1,244,520X111
1,244,520X98
1,244,520X109
1,244,360X3
1,244,210X220
1,244,210X55
1,244,210X56
1,244,520X117
1,244,311X81
1,244,520X44
1,244,311X113
1,244,210X222
1,244,210X218
1,244,520X24
1,244,520X34
1,244,340X138
1,244,420X1
1,244,520X22
1,244,520X46
1,244,520X353
1,244,520X144
1,244,520X104
1,244,520X96
1,244,520X89
1,244,210X200
1,244,520X135
1,244,520X99
1,244,340X9
1,244,360X45
1,244,420X199
1,244,420X68
1,244,520X7
1,244,520X49
1,244,330X345
1,244,330X422
1,244,520X39
1,244,520X57
1,244,520X84
1,244,210X53
1,244,520X101
1,244,520X66
1,244,520X36
1,244,750X185
1,244,520X351
1,244,750X1
1,244,520X67
1,244,340X8
1,244,520X74
1,244,210X138
1,244,311X208
1,244,520X69
1,244,750X327
1,244,340X163
1,244,360X1278
1,244,520X23
1,244,520X345
1,244,520X12
1,244,420X212
1,244,520X178
1,244,520X28
1,244,520X13
2,42,311X32
2,42,311X193
2,42,311X129
2,42,311X29
2,42,311X184
2,42,311X196
2,42,311X192
2,42,344X87
2,42,311X183
2,42,344X110
2,42,311X223
2,42,344X172
2,42,311X189
2,42,ERROR:#N/A_16
2,42,311X137
2,42,344X114
2,42,344X112
2,42,344X154
2,42,344X119
2,42,344X103
2,42,344X105
2,42,344X92
2,42,311X152
2,42,344X85
2,42,311X33
2,42,344X159
2,42,311X133
2,42,311X155
2,42,311X135
2,42,344X48
2,42,311X151
2,42,344X83
2,42,344X53
2,42,311X25
2,42,311X194
2,42,344X20
2,42,311X134
2,42,311X26
2,42,311X88
2,42,344X77
2,42,344X208
2,42,ERROR:#N/A_9
2,42,311X90
2,42,311X10
2,42,311X86
2,42,344X1
2,42,344X185
2,42,344X212
2,42,311X95
2,42,344X73
2,42,344X78
2,42,311X30
2,42,311X89
2,42,344X71
2,42,311X127
2,42,311X87
2,42,344X186
2,42,311X182
2,42,344X19
2,42,344X5
2,42,311X188
2,42,ERROR:#N/A_8
2,42,311X190
2,42,ERROR:#N/A_14
2,42,311X147
2,42,311X191
2,42,344X225
2,42,311X146
2,42,311X83
2,42,344X190
2,42,311X11
2,42,311X71
2,42,311X200
2,42,311X187
2,42,311X81
2,42,311X82
2,42,344X221
2,42,311X85
2,42,311X68
2,42,420X159
2,42,311X131
2,42,311X80
2,42,311X117
2,42,210X224
2,42,311X94
2,42,210X218
2,42,311X61
2,42,311X211
2,42,311X93
2,42,311X65
2,42,311X197
2,42,311X8
2,42,344X55
2,42,311X69
2,42,311X92
2,42,311X84
2,42,311X63
2,42,311X12
2,42,311X74
2,42,311X9
2,42,340X59
2,42,344X15
2,42,311X62
2,42,210X221
2,42,210X220
2,42,311X70
2,42,311X66
2,42,520X330
2,42,210X222
2,42,311X104
2,42,311X103
2,42,344X6
2,42,344X13
2,42,311X73
2,42,311X28
2,42,311X195
2,42,420X189
2,42,311X1
2,42,420X99
2,42,420X36
2,42,210X136
2,42,210X53
2,42,420X157
2,42,344X150
2,42,340X124
2,42,210X166
2,42,312X286
2,42,330X358
2,42,520X178
2,42,311X208
2,42,210X202
2,42,210X207
2,42,344X10
2,42,210X219
2,42,210X25
2,42,311X75
2,42,210X46
2,42,311X207
2,42,311X107
2,42,210X134
2,42,344X194
2,42,420X34
2,42,420X69
2,42,210X62
2,42,420X188
2,42,311X205
2,42,311X142
2,42,311X203
2,42,420X156
2,42,311X204
2,42,420X66
2,42,210X118
2,42,420X67
2,42,311X31
2,42,420X68
2,42,420X160
2,42,330X368
2,42,311X128
2,42,210X203
2,42,420X70
2,42,420X96
2,42,311X72
2,42,311X109
2,42,311X67
2,42,420X31
2,42,420X97
2,42,210X148
2,42,520X67
2,42,420X35
2,42,520X68
2,42,330X335
2,42,420X1
2,42,210X129
2,42,420X187
2,42,520X284
2,42,310X176
2,42,210X150
2,42,310X111
2,42,311X91
2,42,750X155
2,42,220X163
2,42,311X212
2,42,210X26
2,42,520X47
2,42,210X206
2,42,420X94
2,42,420X200
2,42,311X209
2,42,311X154
2,42,420X141
2,42,311X4
2,42,210X132
2,42,311X112
2,42,ERROR:#N/A_11
2,42,330X790
2,42,420X93
2,42,220X70
2,42,420X132
2,42,420X100
2,42,340X11
2,42,520X31
2,42,210X156
2,42,210X81
2,42,420X212
2,42,311X27
2,42,210X137
2,42,330X1153
2,42,330X53
2,42,340X140
2,42,420X92
2,42,360X984
2,42,420X71
2,42,312X153
2,42,210X168
2,42,750X185
2,42,210X65
2,42,420X139
2,42,520X11
2,42,520X48
2,42,344X176
2,42,210X36
2,42,520X113
2,42,311X52
2,42,520X351
2,42,520X129
2,42,210X83
2,42,330X345
2,42,311X130
2,42,520X98
2,42,210X184
2,42,520X295
2,42,420X134
2,42,360X1152
2,42,520X112
2,42,340X2
2,42,210X162
2,42,312X154
2,42,344X158
2,42,210X181
2,42,210X99
2,42,520X179
2,42,420X208
2,42,520X114
2,42,330X325
2,42,520X49
2,42,340X125
2,42,330X193
2,42,520X39
2,42,520X101
2,42,520X56
2,42,520X104
2,42,520X108
2,42,312X155
2,42,520X44
2,42,344X149
2,42,420X114
2,42,340X139
2,42,520X87
2,42,210X120
2,42,210X175
2,42,520X353
2,42,330X973
2,42,210X169
2,42,360X45
2,42,420X98
2,42,420X38
2,42,340X134
2,42,420X135
2,42,520X1
2,42,520X103
2,42,520X74
2,42,210X142
2,42,520X99
2,42,520X118
2,42,750X91
2,42,520X134
2,42,520X12
2,42,ERROR:#N/A_6
2,42,330X167
2,42,520X37
2,42,311X106
2,42,750X1305
2,42,520X34
2,42,520X59
2,42,520X69
2,42,520X144
2,42,330X412
2,42,340X61
2,42,210X163
2,42,210X149
2,42,520X36
2,42,420X37
2,42,360X34
2,42,420X140
2,42,520X19
2,42,420X193
2,42,520X107
2,42,520X23
2,42,330X196
2,42,344X64
2,42,340X15
2,42,520X86
2,42,520X24
2,42,520X28
2,42,330X365
2,42,520X135
2,42,520X143
2,42,210X45
2,42,420X197
2,42,520X94
2,42,750X1061
2,42,520X296
2,42,210X47
2,42,520X109
2,42,520X32
2,42,210X63
2,42,520X177
2,42,520X89
2,42,520X325
2,42,311X113
2,143,311X32
2,143,311X196
2,143,311X129
2,143,311X189
2,143,311X193
2,143,311X29
2,143,311X137
2,143,311X183
2,143,344X105
2,143,311X184
2,143,311X192
2,143,344X114
2,143,344X85
2,143,344X103
2,143,344X92
2,143,311X223
2,143,344X119
2,143,311X33
2,143,344X110
2,143,311X152
2,143,344X154
2,143,311X135
2,143,ERROR:#N/A_16
2,143,344X83
2,143,344X87
2,143,344X172
2,143,344X112
2,143,344X159
2,143,311X131
2,143,344X48
2,143,344X77
2,143,311X151
2,143,311X26
2,143,311X133
2,143,311X25
2,143,311X194
2,143,344X1
2,143,344X186
2,143,311X30
2,143,311X88
2,143,311X86
2,143,311X134
2,143,311X155
2,143,344X78
2,143,344X208
2,143,344X190
2,143,311X90
2,143,311X147
2,143,311X117
2,143,344X5
2,143,311X10
2,143,344X212
2,143,311X87
2,143,344X185
2,143,344X20
2,143,311X188
2,143,ERROR:#N/A_14
2,143,311X190
2,143,311X187
2,143,311X92
2,143,311X68
2,143,311X89
2,143,311X146
2,143,344X53
2,143,311X182
2,143,311X191
2,143,ERROR:#N/A_8
2,143,ERROR:#N/A_9
2,143,311X200
2,143,311X93
2,143,311X67
2,143,420X159
2,143,311X83
2,143,311X127
2,143,311X9
2,143,344X225
2,143,344X221
2,143,311X73
2,143,311X142
2,143,311X81
2,143,210X220
2,143,210X221
2,143,311X95
2,143,311X82
2,143,210X222
2,143,344X19
2,143,311X84
2,143,311X63
2,143,210X218
2,143,311X85
2,143,340X59
2,143,311X70
2,143,420X36
2,143,311X197
2,143,311X211
2,143,311X61
2,143,311X104
2,143,311X65
2,143,311X69
2,143,311X11
2,143,344X13
2,143,210X206
2,143,330X368
2,143,420X35
2,143,311X62
2,143,420X189
2,143,311X8
2,143,311X71
2,143,311X107
2,143,330X236
2,143,311X66
2,143,210X224
2,143,311X1
2,143,311X74
2,143,344X6
2,143,311X94
2,143,311X28
2,143,420X200
2,143,311X12
2,143,344X10
2,143,344X73
2,143,520X178
2,143,750X185
2,143,210X212
2,143,344X150
2,143,210X8
2,143,311X75
2,143,311X103
2,143,420X188
2,143,344X71
2,143,420X135
2,143,210X190
2,143,311X109
2,143,344X194
2,143,311X80
2,143,344X15
2,143,420X157
2,143,520X284
2,143,311X128
2,143,420X1
2,143,210X202
2,143,311X212
2,143,330X246
2,143,311X205
2,143,311X207
2,143,420X156
2,143,210X166
2,143,420X141
2,143,420X160
2,143,210X83
2,143,330X335
2,143,311X204
2,143,420X94
2,143,210X134
2,143,344X176
2,143,311X203
2,143,ERROR:#N/A (#3)
2,143,210X132
2,143,311X119
2,143,311X210
2,143,330X348
2,143,210X150
2,143,210X44
2,143,210X219
2,143,420X38
2,143,210X42
2,143,750X475
2,143,420X97
2,143,420X187
2,143,220X70
2,143,210X120
2,143,420X99
2,143,420X71
2,143,210X184
2,143,520X68
2,143,220X3
2,143,311X91
2,143,311X209
2,143,330X345
2,143,311X76
2,143,420X92
2,143,210X144
2,143,420X66
2,143,210X64
2,143,420X31
2,143,210X118
2,143,210X46
2,143,420X95
2,143,220X163
2,143,311X154
2,143,360X984
2,143,ERROR:#N/A_11
2,143,210X131
2,143,330X490
2,143,520X129
2,143,340X138
2,143,344X149
2,143,210X185
2,143,340X139
2,143,420X134
2,143,210X162
2,143,330X328
2,143,311X4
2,143,420X67
2,143,311X136
2,143,210X148
2,143,420X228
2,143,311X130
2,143,420X114
2,143,330X1236
2,143,311X27
2,143,420X69
2,143,312X153
2,143,210X65
2,143,312X154
2,143,210X36
2,143,420X139
2,143,420X68
2,143,420X70
2,143,312X155
2,143,340X132
2,143,520X134
2,143,420X93
2,143,210X15
2,143,210X169
2,143,344X158
2,143,520X47
2,143,330X415
2,143,520X117
2,143,420X140
2,143,520X79
2,143,520X289
2,143,330X790
2,143,330X1232
2,143,750X1083
2,143,210X122
2,143,210X41
2,143,520X89
2,143,520X296
2,143,420X98
2,143,210X211
2,143,520X246
2,143,520X62
2,143,520X98
2,143,520X351
2,143,520X11
2,143,330X422
2,143,520X111
2,143,520X109
2,143,520X24
2,143,520X13
2,143,330X1227
2,143,520X128
2,143,330X803
2,143,311X148
2,143,750X776
2,143,420X34
2,143,520X102
2,143,312X95
2,143,520X99
2,143,520X67
2,143,310X168
2,143,311X72
2,143,210X151
2,143,520X38
2,143,420X202
2,143,340X140
2,143,330X571
2,143,520X66
2,143,520X7
2,143,310X111
2,143,340X125
2,143,330X318
2,143,520X44
2,143,330X412
2,143,520X144
2,143,330X338
2,143,520X106
2,143,520X31
2,143,750X696
2,143,520X330
2,143,520X96
2,143,340X15
2,143,520X353
2,143,520X36
2,143,520X101
2,143,310X176
2,143,520X73
2,143,520X87
2,143,210X81
2,143,520X23
2,143,210X149
2,143,210X168
2,143,311X195
2,143,520X59
2,143,210X61
2,143,420X91
2,143,344X51
2,143,520X103
2,143,520X112
2,143,520X12
2,143,311X112
2,143,420X192
2,143,210X55
2,143,520X1
2,143,520X97
2,143,344X66
2,143,210X201
2,143,750X1116
2,143,210X143
2,143,312X166
2,143,210X163
2,143,520X403
2,143,750X91
2,143,520X21
2,143,520X69
2,143,420X96
2,143,420X196
2,143,520X33
2,143,520X285
2,244,311X32
2,244,311X189
2,244,311X193
2,244,311X129
2,244,311X29
2,244,311X192
2,244,311X33
2,244,311X183
2,244,344X159
2,244,311X196
2,244,344X105
2,244,311X223
2,244,344X85
2,244,311X152
2,244,344X154
2,244,344X112
2,244,344X103
2,244,344X92
2,244,ERROR:#N/A_16
2,244,344X114
2,244,344X83
2,244,311X184
2,244,344X1
2,244,311X135
2,244,344X190
2,244,344X119
2,244,344X87
2,244,311X131
2,244,311X151
2,244,311X133
2,244,311X137
2,244,311X25
2,244,344X48
2,244,311X26
2,244,344X53
2,244,311X134
2,244,311X194
2,244,344X78
2,244,311X147
2,244,344X212
2,244,344X172
2,244,311X88
2,244,344X73
2,244,311X10
2,244,311X86
2,244,311X89
2,244,344X77
2,244,311X90
2,244,311X68
2,244,344X208
2,244,ERROR:#N/A_14
2,244,344X71
2,244,311X190
2,244,311X155
2,244,311X187
2,244,311X191
2,244,344X186
2,244,311X87
2,244,344X20
2,244,311X11
2,244,344X225
2,244,344X55
2,244,344X185
2,244,311X182
2,244,ERROR:#N/A_9
2,244,344X19
2,244,344X221
2,244,344X5
2,244,311X188
2,244,311X211
2,244,311X83
2,244,520X284
2,244,311X82
2,244,210X224
2,244,311X93
2,244,311X117
2,244,311X69
2,244,311X200
2,244,311X142
2,244,420X159
2,244,210X221
2,244,311X84
2,244,210X220
2,244,210X218
2,244,311X73
2,244,ERROR:#N/A_8
2,244,311X85
2,244,311X71
2,244,311X67
2,244,311X195
2,244,311X92
2,244,311X80
2,244,344X13
2,244,311X61
2,244,311X197
2,244,420X36
2,244,311X81
2,244,311X9
2,244,311X63
2,244,311X95
2,244,311X62
2,244,311X94
2,244,311X12
2,244,311X66
2,244,311X65
2,244,420X35
2,244,311X104
2,244,344X6
2,244,210X219
2,244,344X10
2,244,311X8
2,244,420X188
2,244,311X127
