strategy,stratifier,level,n,covered,coverage,mean_width,wilson_low,wilson_high,small_group,interval_note
rolling80_immediate_labels,TOOL_ID,N,25,21,0.84,0.5530960053897587,0.6534637839282114,0.9359654854332355,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Tool (#1),B,100,90,0.9,0.540555141363893,0.8256343384950865,0.9447708629393249,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,TOOL (#1),V,45,39,0.8666666666666667,0.5392103931592083,0.7382269817382293,0.9374285125243192,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,TOOL (#1),K,44,41,0.9318181818181818,0.54616724737362,0.8177495562977846,0.9765406040926183,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,TOOL (#1),T,11,10,0.9090909090909091,0.5236079599805138,0.6226415635484043,0.9837678271141151,True,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Chamber ID,2,44,40,0.9090909090909091,0.5384261831744361,0.7884076083340138,0.9640778067726837,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Chamber ID,1,13,11,0.8461538461538461,0.533685275309537,0.5776536898051745,0.9567418216419186,True,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Chamber ID,3,43,39,0.9069767441860465,0.54481054645791,0.783972963587464,0.9632283593682872,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,TOOL (#2),B,84,76,0.9047619047619048,0.542301654709624,0.8231736440500729,0.9509482900904406,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,TOOL (#2),C,12,11,0.9166666666666666,0.5316660885130393,0.646120088858883,0.9851349055950829,True,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,TOOL (#2),A,4,3,0.75,0.5305455196561046,0.30064184258240184,0.9544127391902995,True,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Tool (#2),V,96,87,0.90625,0.5409722089350509,0.8313466930777846,0.949891891787854,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Tool (#2),W,4,3,0.75,0.5305455196561046,0.30064184258240184,0.9544127391902995,True,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Tool (#3),R,80,72,0.9,0.5416515260966464,0.8148931119389591,0.9484523844326191,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Tool (#3),Q,20,18,0.9,0.53616960243288,0.6989663547715128,0.9721335187862319,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Tool (#4),E,40,34,0.85,0.5474613864917904,0.709276756335103,0.9293881228267964,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Tool (#4),C,60,56,0.9333333333333333,0.5359509779452949,0.8407464268680283,0.9737713012754938,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,OPERATION_ID,XY1,59,54,0.9152542372881356,0.5450048594780394,0.8164820473258972,0.9632579669823632,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,OPERATION_ID,XY2,41,36,0.8780487804878049,0.5341518884679264,0.7445578847902312,0.9467666353142228,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Tool (#5),14,100,90,0.9,0.540555141363893,0.8256343384950865,0.9447708629393249,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Chamber,4.0,14,10,0.7142857142857143,0.5338649063253206,0.4535091567010681,0.8827862135542308,True,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Chamber,3.0,26,24,0.9230769230769231,0.5372990646418757,0.7585844622837095,0.9786449115277238,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Chamber,2.0,23,21,0.9130434782608695,0.5373161695661024,0.7320401892425634,0.9758199955157796,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Chamber,1.0,25,23,0.92,0.5430750648298853,0.7503389104960468,0.9777795987151524,False,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Chamber,5.0,9,9,1.0,0.5626123279345578,0.7008549515804559,1.0,True,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,Chamber,__MISSING__,3,3,1.0,0.5376567649891815,0.4385029682449546,1.0,True,Wilson is descriptive; within-device temporal dependence not modeled
rolling80_immediate_labels,TOOL (#3),A,100,90,0.9,0.540555141363893,0.8256343384950865,0.9447708629393249,False,Wilson is descriptive; within-device temporal dependence not modeled
