feature,distribution,n,ks_stat,ks_pvalue,aic,skewness,best_distribution,best_aic,best_ks_stat,best_ks_pvalue
344X117,lognormal,738,0.38885231615780486,5.468607991153255e-101,3096.395281763724,-27.104422266584322,weibull,2980.893229972219,0.3941375268753497,7.546601509888973e-104
344X117,gamma,738,0.3886604737633817,6.931838676696624e-101,3110.0981998822294,-27.104422266584322,weibull,2980.893229972219,0.3941375268753497,7.546601509888973e-104
344X117,weibull,738,0.3941375268753497,7.546601509888973e-104,2980.893229972219,-27.104422266584322,weibull,2980.893229972219,0.3941375268753497,7.546601509888973e-104
344X104,normal,739,0.4835036473388892,1.515974385370296e-159,6043.229524296301,-27.056649811884412,normal,6043.229524296301,0.4835036473388892,1.515974385370296e-159
344X104,lognormal,739,0.491605883455467,2.7606463268838668e-165,6510.606690209095,-27.056649811884412,normal,6043.229524296301,0.4835036473388892,1.515974385370296e-159
344X104,gamma,739,0.6862956238388966,0.0,16558.06850124387,-27.056649811884412,normal,6043.229524296301,0.4835036473388892,1.515974385370296e-159
344X104,weibull,739,0.8905426656229478,0.0,13741.785444155128,-27.056649811884412,normal,6043.229524296301,0.4835036473388892,1.515974385370296e-159
344X69,normal,739,0.5056912116490743,1.4661112025674092e-175,1024.8889426977248,-27.03752687750595,normal,1024.8889426977248,0.5056912116490743,1.4661112025674092e-175
344X69,lognormal,739,0.506814980028078,2.1376454676038324e-176,1257.394840777831,-27.03752687750595,normal,1024.8889426977248,0.5056912116490743,1.4661112025674092e-175
344X69,gamma,739,0.5129642064095497,5.133037234964654e-181,6621.70289024088,-27.03752687750595,normal,1024.8889426977248,0.5056912116490743,1.4661112025674092e-175
344X69,weibull,739,0.6278159320843776,2.8899865284361433e-282,1584.3651193997903,-27.03752687750595,normal,1024.8889426977248,0.5056912116490743,1.4661112025674092e-175
344X74,normal,739,0.47634539287714256,1.4120544502836828e-154,2911.200684070631,-27.015857889147206,weibull,-1231.5459073745199,0.20232874239928356,5.812711336721202e-27
344X74,lognormal,738,0.22495072599566296,2.7077316332175594e-33,-1144.298328768547,-27.015857889147206,weibull,-1231.5459073745199,0.20232874239928356,5.812711336721202e-27
344X74,gamma,738,0.19012030154062093,7.809277601188581e-24,-1197.8149561508944,-27.015857889147206,weibull,-1231.5459073745199,0.20232874239928356,5.812711336721202e-27
344X74,weibull,738,0.20232874239928356,5.812711336721202e-27,-1231.5459073745199,-27.015857889147206,weibull,-1231.5459073745199,0.20232874239928356,5.812711336721202e-27
344X81,normal,739,0.46937723042303137,7.8805892030229e-150,1597.671414926637,-26.886117184100794,weibull,-11917.916319066924,0.3326229494123929,2.8042361529747836e-73
344X81,lognormal,738,0.32264903800548256,7.211977123147721e-69,-2033.6873881624679,-26.886117184100794,weibull,-11917.916319066924,0.3326229494123929,2.8042361529747836e-73
344X81,gamma,738,0.33649214322272286,4.974684141988452e-75,-2036.9184092567857,-26.886117184100794,weibull,-11917.916319066924,0.3326229494123929,2.8042361529747836e-73
344X81,weibull,738,0.3326229494123929,2.8042361529747836e-73,-11917.916319066924,-26.886117184100794,weibull,-11917.916319066924,0.3326229494123929,2.8042361529747836e-73
210X138,normal,800,0.39931924857684925,1.285941418033967e-115,-6004.363006826408,26.552529438065758,lognormal,-8444.634022742724,0.2550665562579929,3.830019548786047e-46
210X138,lognormal,796,0.2550665562579929,3.830019548786047e-46,-8444.634022742724,26.552529438065758,lognormal,-8444.634022742724,0.2550665562579929,3.830019548786047e-46
210X138,gamma,796,0.9371424355152695,0.0,-3534.8177220508833,26.552529438065758,lognormal,-8444.634022742724,0.2550665562579929,3.830019548786047e-46
312X269,normal,690,0.5044781972902598,4.094495367810091e-163,8896.540684122741,-26.262401728845077,normal,8896.540684122741,0.5044781972902598,4.094495367810091e-163
312X263,normal,690,0.48825279136574984,3.957864132597356e-152,7167.0021398254485,26.169148896673825,gamma,-15723.614427587212,0.6986204397026226,2.6900862166252545e-229
312X263,lognormal,468,0.3969230735781389,5.2026231781738086e-67,1387.7822223460748,26.169148896673825,gamma,-15723.614427587212,0.6986204397026226,2.6900862166252545e-229
312X263,gamma,468,0.6986204397026226,2.6900862166252545e-229,-15723.614427587212,26.169148896673825,gamma,-15723.614427587212,0.6986204397026226,2.6900862166252545e-229
312X263,weibull,468,0.6987179477570051,2.2562041672238325e-229,-8462.109668378855,26.169148896673825,gamma,-15723.614427587212,0.6986204397026226,2.6900862166252545e-229
344X56,normal,739,0.43945599470925817,1.9486877893305908e-130,475.8239371720584,-26.116310237043358,weibull,133.54187796580595,0.5632333511581924,1.133737261747789e-221
344X56,lognormal,739,0.45161127507345333,4.001647376124234e-138,931.7593231150374,-26.116310237043358,weibull,133.54187796580595,0.5632333511581924,1.133737261747789e-221
344X56,gamma,739,0.5235416760118955,3.881330886753642e-189,6438.803790991731,-26.116310237043358,weibull,133.54187796580595,0.5632333511581924,1.133737261747789e-221
344X56,weibull,739,0.5632333511581924,1.133737261747789e-221,133.54187796580595,-26.116310237043358,weibull,133.54187796580595,0.5632333511581924,1.133737261747789e-221
210X140,normal,800,0.48497512711258045,8.626337080716381e-174,-9053.595156817239,25.357487415222437,gamma,-57771.242798298474,0.5959110091031439,2.165393591979617e-270
210X140,lognormal,796,0.5304109370582577,1.699410686788097e-209,-11360.92978198445,25.357487415222437,gamma,-57771.242798298474,0.5959110091031439,2.165393591979617e-270
210X140,gamma,796,0.5959110091031439,2.165393591979617e-270,-57771.242798298474,25.357487415222437,gamma,-57771.242798298474,0.5959110091031439,2.165393591979617e-270
210X140,weibull,796,0.9509848701084704,0.0,-47284.52248318578,25.357487415222437,gamma,-57771.242798298474,0.5959110091031439,2.165393591979617e-270
344X108,normal,739,0.5047353128328612,7.50841411042688e-175,7146.560585405841,-24.54221442401949,lognormal,5250.97947504311,0.5011094999740259,6.060115912084599e-172
344X108,lognormal,738,0.5011094999740259,6.060115912084599e-172,5250.97947504311,-24.54221442401949,lognormal,5250.97947504311,0.5011094999740259,6.060115912084599e-172
344X108,gamma,738,0.9981808008480952,0.0,59244.85163879566,-24.54221442401949,lognormal,5250.97947504311,0.5011094999740259,6.060115912084599e-172
344X108,weibull,738,0.8837736782845235,0.0,11030.828129627997,-24.54221442401949,lognormal,5250.97947504311,0.5011094999740259,6.060115912084599e-172
312X262,normal,799,0.5075570331460526,2.8339157865434025e-191,10274.018592101605,24.332697738980844,gamma,-21728.929331660613,0.4429341749362943,1.5100042749191282e-104
312X262,lognormal,582,0.328134445345709,2.578185231384191e-56,2337.9134911066953,24.332697738980844,gamma,-21728.929331660613,0.4429341749362943,1.5100042749191282e-104
312X262,gamma,582,0.4429341749362943,1.5100042749191282e-104,-21728.929331660613,24.332697738980844,gamma,-21728.929331660613,0.4429341749362943,1.5100042749191282e-104
312X262,weibull,582,0.652920959924259,3.022885028734055e-243,-10564.5466381684,24.332697738980844,gamma,-21728.929331660613,0.4429341749362943,1.5100042749191282e-104
210X124,normal,800,0.46668619387230914,3.395520894568196e-160,-4706.4620028981535,23.941696642736908,lognormal,-8578.052890291276,0.3703013033400031,1.942817584384694e-98
210X124,lognormal,796,0.3703013033400031,1.942817584384694e-98,-8578.052890291276,23.941696642736908,lognormal,-8578.052890291276,0.3703013033400031,1.942817584384694e-98
210X124,gamma,796,0.9169837717597794,0.0,-3510.4683598146353,23.941696642736908,lognormal,-8578.052890291276,0.3703013033400031,1.942817584384694e-98
210X124,weibull,796,0.7613742907045715,0.0,-6884.286709374021,23.941696642736908,lognormal,-8578.052890291276,0.3703013033400031,1.942817584384694e-98
210X73,normal,800,0.31525201817818127,3.598655938043477e-71,-6671.4889331432705,23.406494421298735,lognormal,-8287.518854661994,0.23557135446334876,2.4361075237467413e-39
210X73,lognormal,796,0.23557135446334876,2.4361075237467413e-39,-8287.518854661994,23.406494421298735,lognormal,-8287.518854661994,0.23557135446334876,2.4361075237467413e-39
210X73,gamma,796,0.823179566979621,0.0,-8078.488783900939,23.406494421298735,lognormal,-8287.518854661994,0.23557135446334876,2.4361075237467413e-39
210X57,normal,800,0.4071131770948556,2.379480776784497e-120,-7814.17040913248,22.913369852628307,lognormal,-9284.395424276383,0.3578994236562245,8.853826507207876e-92
210X57,lognormal,796,0.3578994236562245,8.853826507207876e-92,-9284.395424276383,22.913369852628307,lognormal,-9284.395424276383,0.3578994236562245,8.853826507207876e-92
210X57,gamma,796,0.8889392702121895,0.0,-5078.458069725565,22.913369852628307,lognormal,-9284.395424276383,0.3578994236562245,8.853826507207876e-92
210X29,normal,800,0.47659793565821806,1.7603648141095227e-167,-9764.00461632205,21.68862594894096,gamma,-57144.52224059029,0.8166449680021038,0.0
210X29,lognormal,762,0.5131461437863353,8.930371192316374e-187,-11894.879719480574,21.68862594894096,gamma,-57144.52224059029,0.8166449680021038,0.0
210X29,gamma,762,0.8166449680021038,0.0,-57144.52224059029,21.68862594894096,gamma,-57144.52224059029,0.8166449680021038,0.0
210X29,weibull,762,0.9986330793418137,0.0,-48679.533859543124,21.68862594894096,gamma,-57144.52224059029,0.8166449680021038,0.0
210X126,normal,800,0.5121413205329814,3.0613127109230627e-195,-8496.006262920035,21.479597144802135,gamma,-59981.3881077885,0.6947531010188,0.0
210X126,lognormal,796,0.5206940276364214,2.6302232138367604e-201,-11555.345437450422,21.479597144802135,gamma,-59981.3881077885,0.6947531010188,0.0
210X126,gamma,796,0.6947531010188,0.0,-59981.3881077885,21.479597144802135,gamma,-59981.3881077885,0.6947531010188,0.0
210X126,weibull,796,0.9924406008373987,0.0,-49184.99527752472,21.479597144802135,gamma,-59981.3881077885,0.6947531010188,0.0
310X97,normal,800,0.5174630636899794,1.2654420546962211e-199,2526.6345946074434,19.964457507328678,normal,2526.6345946074434,0.5174630636899794,1.2654420546962211e-199
